,0s,899s,1799s,2699s,3599s,4499s,5399s,6299s,7199s,8099s,8999s,9899s,10799s,11699s,12599s,13499s,14399s
D9,0.075,0.076,0.076,0.076,0.077,0.078,0.08,0.083,0.087,0.089,0.089,0.087,0.082,0.078,0.077,0.076,0.076
D10,0.072,0.074,0.074,0.075,0.075,0.076,0.078,0.081,0.083,0.086,0.086,0.085,0.08,0.077,0.075,0.074,0.075
D11,0.071,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
D12,0.081,0.087,0.087,0.087,0.086,0.087,0.087,0.087,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.086,0.087
E1,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
E2,0.081,0.08,0.081,0.081,0.081,0.082,0.083,0.085,0.087,0.09,0.094,0.099,0.106,0.116,0.129,0.148,0.177
E3,0.085,0.087,0.087,0.088,0.089,0.091,0.093,0.096,0.1,0.106,0.113,0.123,0.135,0.153,0.18,0.223,0.272
E4,0.087,0.089,0.089,0.09,0.091,0.092,0.093,0.095,0.098,0.102,0.106,0.113,0.122,0.136,0.154,0.185,0.23
E5,0.089,0.09,0.09,0.09,0.09,0.091,0.092,0.093,0.095,0.098,0.102,0.108,0.116,0.126,0.141,0.16,0.19
E6,0.083,0.086,0.086,0.086,0.086,0.086,0.087,0.087,0.088,0.089,0.09,0.092,0.094,0.098,0.101,0.104,0.111
E7,0.081,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.084,0.083
E8,0.085,0.087,0.087,0.088,0.088,0.089,0.091,0.094,0.097,0.098,0.098,0.097,0.093,0.089,0.088,0.088,0.087
E9,0.075,0.075,0.076,0.076,0.078,0.079,0.081,0.084,0.088,0.09,0.09,0.088,0.083,0.08,0.078,0.078,0.078
E10,0.074,0.073,0.074,0.074,0.075,0.076,0.078,0.081,0.084,0.086,0.086,0.084,0.08,0.076,0.074,0.074,0.074
E11,0.071,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073
E12,0.081,0.087,0.087,0.087,0.087,0.088,0.087,0.087,0.087,0.088,0.088,0.087,0.087,0.087,0.087,0.087,0.087
F1,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
F2,0.081,0.081,0.081,0.082,0.082,0.083,0.084,0.086,0.088,0.092,0.096,0.103,0.11,0.121,0.133,0.154,0.185
F3,0.082,0.083,0.084,0.085,0.087,0.087,0.09,0.094,0.1,0.106,0.116,0.127,0.143,0.165,0.201,0.251,0.285
F4,0.086,0.087,0.088,0.088,0.09,0.089,0.09,0.092,0.096,0.097,0.101,0.107,0.114,0.124,0.137,0.159,0.189
F5,0.089,0.09,0.09,0.09,0.09,0.091,0.092,0.094,0.095,0.099,0.102,0.108,0.115,0.125,0.14,0.158,0.186
F6,0.085,0.086,0.086,0.086,0.086,0.087,0.087,0.087,0.088,0.089,0.09,0.091,0.094,0.096,0.099,0.102,0.105
F7,0.08,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
F8,0.084,0.087,0.087,0.088,0.088,0.089,0.092,0.095,0.099,0.106,0.115,0.127,0.142,0.164,0.192,0.231,0.277
F9,0.075,0.077,0.077,0.077,0.078,0.079,0.081,0.085,0.09,0.098,0.108,0.122,0.14,0.164,0.197,0.242,0.289
F10,0.072,0.075,0.075,0.075,0.075,0.077,0.079,0.082,0.086,0.094,0.104,0.116,0.133,0.156,0.186,0.225,0.276
F11,0.074,0.074,0.074,0.074,0.073,0.074,0.074,0.074,0.073,0.074,0.074,0.074,0.074,0.074,0.074,0.073,0.074
F12,0.082,0.086,0.086,0.086,0.085,0.086,0.086,0.086,0.085,0.086,0.086,0.087,0.086,0.086,0.086,0.085,0.086
G1,0.081,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
G2,0.081,0.081,0.082,0.082,0.081,0.083,0.084,0.086,0.087,0.091,0.096,0.101,0.109,0.12,0.134,0.154,0.184
G3,0.082,0.084,0.085,0.085,0.085,0.087,0.09,0.093,0.096,0.103,0.111,0.12,0.133,0.149,0.177,0.22,0.263
G4,0.088,0.089,0.09,0.09,0.089,0.091,0.092,0.094,0.094,0.098,0.102,0.107,0.115,0.125,0.139,0.16,0.19
G5,0.089,0.091,0.091,0.091,0.09,0.092,0.093,0.094,0.094,0.098,0.102,0.107,0.115,0.124,0.137,0.152,0.177
G6,0.084,0.087,0.087,0.087,0.086,0.087,0.088,0.088,0.087,0.089,0.09,0.092,0.093,0.096,0.099,0.101,0.106
G7,0.081,0.083,0.083,0.083,0.083,0.083,0.083,0.084,0.083,0.083,0.083,0.083,0.083,0.083,0.084,0.083,0.084
G8,0.085,0.089,0.089,0.089,0.089,0.091,0.092,0.095,0.099,0.105,0.114,0.125,0.14,0.161,0.188,0.223,0.271
G9,0.077,0.078,0.078,0.079,0.079,0.081,0.083,0.086,0.091,0.098,0.109,0.122,0.14,0.164,0.195,0.237,0.286
G10,0.074,0.077,0.077,0.078,0.077,0.08,0.082,0.085,0.089,0.098,0.108,0.121,0.139,0.163,0.194,0.234,0.284
G11,0.073,0.075,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074
G12,0.081,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.087,0.088
H1,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
H2,0.084,0.084,0.084,0.084,0.083,0.084,0.084,0.084,0.083,0.084,0.085,0.084,0.084,0.084,0.084,0.083,0.084
H3,0.081,0.082,0.081,0.082,0.081,0.082,0.082,0.082,0.081,0.082,0.082,0.082,0.082,0.082,0.082,0.081,0.082
H4,0.086,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
H5,0.086,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.088,0.088,0.088,0.087,0.088
H6,0.083,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
H7,0.085,0.086,0.085,0.085,0.086,0.085,0.085,0.085,0.086,0.085,0.085,0.085,0.085,0.085,0.085,0.086,0.085
H8,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
H9,0.078,0.078,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079
H10,0.077,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.077,0.076,0.077
H11,0.077,0.077,0.077,0.077,0.076,0.077,0.077,0.077,0.076,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077
H12,0.091,0.089,0.089,0.089,0.089,0.089,0.089,0.09,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
