Well,Content,Well Scan: Average (600),
B02,Sample X1,0.903,
B03,Sample X2,0.872,
B04,Sample X3,0.783,
B05,Sample X4,0.905,
B06,Sample X5,0.432,
B07,Sample X6,0.651,
B08,Sample X7,0.844,
B09,Sample X8,0.792,
B10,Sample X9,0.774,
B11,Sample X10,0.745,
C02,Sample X11,0.831,
C03,Sample X12,0.800,
C04,Sample X13,0.849,
C05,Sample X14,0.763,
C06,Sample X15,0.824,
C07,Sample X16,0.855,
C08,Sample X17,0.796,
C09,Sample X18,0.842,
C10,Sample X19,0.812,
C11,Sample X20,0.853,
D02,Sample X21,0.821,
D03,Sample X22,0.767,
D04,Sample X23,0.778,
D05,Sample X24,0.799,
D06,Sample X25,0.794,
D07,Sample X26,0.812,
D08,Sample X27,0.815,
D09,Sample X28,0.846,
D10,Sample X29,0.798,
D11,Sample X30,0.862,
E02,Sample X31,0.776,
E03,Sample X32,0.765,
E04,Sample X33,0.801,
E05,Sample X34,0.841,
E06,Sample X35,0.725,
E07,Sample X36,0.618,
E08,Sample X37,0.787,
E09,Sample X38,0.769,
E10,Sample X39,0.847,
E11,Sample X40,0.701,
F02,Sample X41,0.707,
F03,Sample X42,0.609,
F04,Sample X43,0.599,
F05,Sample X44,0.599,
F06,Sample X45,0.633,
F07,Sample X46,0.590,
F08,Sample X47,0.642,
F09,Sample X48,0.595,
F10,Sample X49,0.553,
F11,Sample X50,0.799,
G02,Sample X51,0.379,
G03,Sample X52,0.419,
G04,Sample X53,0.243,
G05,Sample X54,0.246,
G06,Sample X55,0.205,
G07,Sample X56,1.645,
G08,Sample X57,0.339,
G09,Sample X58,0.465,
G10,Sample X59,0.493,
G11,Sample X60,0.344,
