Well,Content,Well Scan: Average (600),
B02,Sample X1,1.172,
B03,Sample X2,1.215,
B04,Sample X3,1.226,
B05,Sample X4,1.342,
B06,Sample X5,0.760,
B07,Sample X6,1.225,
B08,Sample X7,0.536,
B09,Sample X8,0.506,
B10,Sample X9,0.496,
B11,Sample X10,0.452,
C02,Sample X11,0.617,
C03,Sample X12,0.691,
C04,Sample X13,0.622,
C05,Sample X14,0.571,
C06,Sample X15,0.509,
C07,Sample X16,0.534,
C08,Sample X17,0.587,
C09,Sample X18,0.626,
C10,Sample X19,0.608,
C11,Sample X20,0.612,
D02,Sample X21,0.589,
D03,Sample X22,0.535,
D04,Sample X23,0.557,
D05,Sample X24,0.482,
D06,Sample X25,0.467,
D07,Sample X26,0.469,
D08,Sample X27,0.515,
D09,Sample X28,0.473,
D10,Sample X29,0.515,
D11,Sample X30,0.614,
E02,Sample X31,0.474,
E03,Sample X32,0.524,
E04,Sample X33,0.530,
E05,Sample X34,0.480,
E06,Sample X35,0.432,
E07,Sample X36,0.457,
E08,Sample X37,0.479,
E09,Sample X38,0.485,
E10,Sample X39,0.496,
E11,Sample X40,0.474,
F02,Sample X41,0.645,
F03,Sample X42,0.659,
F04,Sample X43,0.667,
F05,Sample X44,0.487,
F06,Sample X45,0.523,
F07,Sample X46,0.521,
F08,Sample X47,0.627,
F09,Sample X48,0.571,
F10,Sample X49,0.666,
F11,Sample X50,0.643,
G02,Sample X51,1.227,
G03,Sample X52,1.217,
G04,Sample X53,1.330,
G05,Sample X54,1.606,
G06,Sample X55,1.313,
G07,Sample X56,1.630,
G08,Sample X57,1.111,
G09,Sample X58,1.533,
G10,Sample X59,1.466,
G11,Sample X60,1.055,
