Well,Content,Well Scan: Average (600),
B02,Sample X1,0.341,
B03,Sample X2,0.319,
B04,Sample X3,0.325,
B05,Sample X4,0.322,
B06,Sample X5,0.333,
B07,Sample X6,0.324,
B08,Sample X7,0.259,
B09,Sample X8,0.311,
B10,Sample X9,0.294,
B11,Sample X10,0.290,
C02,Sample X11,0.182,
C03,Sample X12,0.183,
C04,Sample X13,0.186,
C05,Sample X14,0.228,
C06,Sample X15,0.235,
C07,Sample X16,0.225,
C08,Sample X17,0.223,
C09,Sample X18,0.199,
C10,Sample X19,0.195,
C11,Sample X20,0.191,
D02,Sample X21,0.270,
D03,Sample X22,0.272,
D04,Sample X23,0.271,
D05,Sample X24,0.277,
D06,Sample X25,0.279,
D07,Sample X26,0.274,
D08,Sample X27,0.264,
D09,Sample X28,0.265,
D10,Sample X29,0.250,
D11,Sample X30,0.276,
E02,Sample X31,0.260,
E03,Sample X32,0.267,
E04,Sample X33,0.266,
E05,Sample X34,0.258,
E06,Sample X35,0.254,
E07,Sample X36,0.260,
E08,Sample X37,0.266,
E09,Sample X38,0.269,
E10,Sample X39,0.275,
E11,Sample X40,0.276,
F02,Sample X41,0.253,
F03,Sample X42,0.261,
F04,Sample X43,0.248,
F05,Sample X44,0.251,
F06,Sample X45,0.248,
F07,Sample X46,0.239,
F08,Sample X47,0.251,
F09,Sample X48,0.251,
F10,Sample X49,0.249,
F11,Sample X50,0.264,
G02,Sample X51,0.244,
G03,Sample X52,0.262,
G04,Sample X53,0.258,
G05,Sample X54,0.265,
G06,Sample X55,0.244,
G07,Sample X56,0.241,
G08,Sample X57,0.246,
G09,Sample X58,0.240,
G10,Sample X59,0.262,
G11,Sample X60,0.279,
