Well,Content,Well Scan: Average (600),
B02,Sample X1,1.090,
B03,Sample X2,1.341,
B04,Sample X3,1.464,
B05,Sample X4,0.896,
B06,Sample X5,0.331,
B07,Sample X6,0.793,
B08,Sample X7,0.103,
B09,Sample X8,0.121,
B10,Sample X9,0.150,
B11,Sample X10,0.118,
C02,Sample X11,0.097,
C03,Sample X12,0.099,
C04,Sample X13,0.102,
C05,Sample X14,0.405,
C06,Sample X15,0.671,
C07,Sample X16,0.469,
C08,Sample X17,0.104,
C09,Sample X18,0.104,
C10,Sample X19,0.103,
C11,Sample X20,0.102,
D02,Sample X21,0.107,
D03,Sample X22,0.123,
D04,Sample X23,0.104,
D05,Sample X24,0.526,
D06,Sample X25,0.588,
D07,Sample X26,0.858,
D08,Sample X27,0.105,
D09,Sample X28,0.108,
D10,Sample X29,0.120,
D11,Sample X30,0.106,
E02,Sample X31,0.105,
E03,Sample X32,0.103,
E04,Sample X33,0.105,
E05,Sample X34,0.275,
E06,Sample X35,0.293,
E07,Sample X36,0.297,
E08,Sample X37,0.108,
E09,Sample X38,0.115,
E10,Sample X39,0.109,
E11,Sample X40,0.109,
F02,Sample X41,0.234,
F03,Sample X42,0.172,
F04,Sample X43,0.217,
F05,Sample X44,0.299,
F06,Sample X45,0.891,
F07,Sample X46,0.989,
F08,Sample X47,0.259,
F09,Sample X48,0.177,
F10,Sample X49,0.251,
F11,Sample X50,0.351,
G02,Sample X51,0.521,
G03,Sample X52,0.188,
G04,Sample X53,0.301,
G05,Sample X54,1.238,
G06,Sample X55,1.177,
G07,Sample X56,0.267,
G08,Sample X57,0.369,
G09,Sample X58,0.406,
G10,Sample X59,0.254,
G11,Sample X60,0.226,
