Well,Content,Well Scan: Average (600),
B02,Sample X1,0.505,
B03,Sample X2,0.506,
B04,Sample X3,0.518,
B05,Sample X4,0.509,
B06,Sample X5,0.504,
B07,Sample X6,0.512,
B08,Sample X7,0.540,
B09,Sample X8,0.526,
B10,Sample X9,0.536,
B11,Sample X10,0.557,
C02,Sample X11,0.557,
C03,Sample X12,0.581,
C04,Sample X13,0.669,
C05,Sample X14,0.546,
C06,Sample X15,0.561,
C07,Sample X16,0.596,
C08,Sample X17,0.545,
C09,Sample X18,0.553,
C10,Sample X19,0.585,
C11,Sample X20,0.568,
D02,Sample X21,0.587,
D03,Sample X22,0.550,
D04,Sample X23,0.575,
D05,Sample X24,0.554,
D06,Sample X25,0.564,
D07,Sample X26,0.536,
D08,Sample X27,0.568,
D09,Sample X28,0.591,
D10,Sample X29,0.597,
D11,Sample X30,0.736,
E02,Sample X31,0.602,
E03,Sample X32,0.707,
E04,Sample X33,0.593,
E05,Sample X34,0.585,
E06,Sample X35,0.596,
E07,Sample X36,0.523,
E08,Sample X37,0.610,
E09,Sample X38,0.628,
E10,Sample X39,0.608,
E11,Sample X40,0.607,
F02,Sample X41,0.753,
F03,Sample X42,0.780,
F04,Sample X43,0.764,
F05,Sample X44,0.651,
F06,Sample X45,0.743,
F07,Sample X46,0.648,
F08,Sample X47,0.754,
F09,Sample X48,0.703,
F10,Sample X49,0.734,
F11,Sample X50,0.785,
G02,Sample X51,0.884,
G03,Sample X52,0.881,
G04,Sample X53,0.820,
G05,Sample X54,0.784,
G06,Sample X55,0.792,
G07,Sample X56,0.747,
G08,Sample X57,0.729,
G09,Sample X58,0.773,
G10,Sample X59,0.823,
G11,Sample X60,0.803,
