Well,Content,Well Scan: Average (600),
B02,Sample X1,0.299,
B03,Sample X2,0.290,
B04,Sample X3,0.283,
B05,Sample X4,0.241,
B06,Sample X5,0.232,
B07,Sample X6,0.250,
B08,Sample X7,0.164,
B09,Sample X8,0.203,
B10,Sample X9,0.184,
B11,Sample X10,0.189,
C02,Sample X11,0.134,
C03,Sample X12,0.125,
C04,Sample X13,0.131,
C05,Sample X14,0.111,
C06,Sample X15,0.129,
C07,Sample X16,0.145,
C08,Sample X17,0.172,
C09,Sample X18,0.149,
C10,Sample X19,0.139,
C11,Sample X20,0.130,
D02,Sample X21,0.218,
D03,Sample X22,0.208,
D04,Sample X23,0.204,
D05,Sample X24,0.222,
D06,Sample X25,0.217,
D07,Sample X26,0.219,
D08,Sample X27,0.214,
D09,Sample X28,0.218,
D10,Sample X29,0.227,
D11,Sample X30,0.227,
E02,Sample X31,0.221,
E03,Sample X32,0.236,
E04,Sample X33,0.229,
E05,Sample X34,0.231,
E06,Sample X35,0.231,
E07,Sample X36,0.227,
E08,Sample X37,0.227,
E09,Sample X38,0.237,
E10,Sample X39,0.233,
E11,Sample X40,0.240,
F02,Sample X41,0.195,
F03,Sample X42,0.228,
F04,Sample X43,0.229,
F05,Sample X44,0.253,
F06,Sample X45,0.250,
F07,Sample X46,0.258,
F08,Sample X47,0.235,
F09,Sample X48,0.239,
F10,Sample X49,0.211,
F11,Sample X50,0.231,
G02,Sample X51,0.216,
G03,Sample X52,0.246,
G04,Sample X53,0.247,
G05,Sample X54,0.209,
G06,Sample X55,0.251,
G07,Sample X56,0.249,
G08,Sample X57,0.238,
G09,Sample X58,0.241,
G10,Sample X59,0.239,
G11,Sample X60,0.234,
