Well,Content,Well Scan: Average (600),
B02,Sample X1,0.858,
B03,Sample X2,0.858,
B04,Sample X3,0.884,
B05,Sample X4,0.922,
B06,Sample X5,0.926,
B07,Sample X6,0.916,
B08,Sample X7,0.845,
B09,Sample X8,0.940,
B10,Sample X9,0.939,
B11,Sample X10,0.969,
C02,Sample X11,0.791,
C03,Sample X12,0.881,
C04,Sample X13,0.815,
C05,Sample X14,0.943,
C06,Sample X15,0.902,
C07,Sample X16,0.864,
C08,Sample X17,0.859,
C09,Sample X18,0.825,
C10,Sample X19,0.611,
C11,Sample X20,0.717,
D02,Sample X21,0.901,
D03,Sample X22,0.915,
D04,Sample X23,0.915,
D05,Sample X24,1.066,
D06,Sample X25,1.106,
D07,Sample X26,1.062,
D08,Sample X27,1.043,
D09,Sample X28,0.907,
D10,Sample X29,1.304,
D11,Sample X30,1.014,
E02,Sample X31,1.373,
E03,Sample X32,1.343,
E04,Sample X33,1.314,
E05,Sample X34,1.315,
E06,Sample X35,1.376,
E07,Sample X36,1.307,
E08,Sample X37,1.280,
E09,Sample X38,1.261,
E10,Sample X39,1.479,
E11,Sample X40,1.385,
F02,Sample X41,1.486,
F03,Sample X42,1.426,
F04,Sample X43,1.530,
F05,Sample X44,1.495,
F06,Sample X45,1.488,
F07,Sample X46,1.534,
F08,Sample X47,1.537,
F09,Sample X48,1.332,
F10,Sample X49,1.453,
F11,Sample X50,1.603,
G02,Sample X51,1.637,
G03,Sample X52,1.527,
G04,Sample X53,1.607,
G05,Sample X54,1.516,
G06,Sample X55,1.578,
G07,Sample X56,1.564,
G08,Sample X57,1.672,
G09,Sample X58,1.642,
G10,Sample X59,1.638,
G11,Sample X60,1.564,
