Well,Content,Well Scan: Average (600),
B02,Sample X1,0.143,
B03,Sample X2,0.179,
B04,Sample X3,0.149,
B05,Sample X4,0.154,
B06,Sample X5,0.156,
B07,Sample X6,0.146,
B08,Sample X7,0.133,
B09,Sample X8,0.149,
B10,Sample X9,0.146,
B11,Sample X10,0.152,
C02,Sample X11,0.098,
C03,Sample X12,0.097,
C04,Sample X13,0.096,
C05,Sample X14,0.144,
C06,Sample X15,0.157,
C07,Sample X16,0.143,
C08,Sample X17,0.126,
C09,Sample X18,0.103,
C10,Sample X19,0.105,
C11,Sample X20,0.105,
D02,Sample X21,0.125,
D03,Sample X22,0.120,
D04,Sample X23,0.135,
D05,Sample X24,0.148,
D06,Sample X25,0.151,
D07,Sample X26,0.155,
D08,Sample X27,0.147,
D09,Sample X28,0.145,
D10,Sample X29,0.129,
D11,Sample X30,0.149,
E02,Sample X31,0.151,
E03,Sample X32,0.152,
E04,Sample X33,0.149,
E05,Sample X34,0.154,
E06,Sample X35,0.161,
E07,Sample X36,0.152,
E08,Sample X37,0.157,
E09,Sample X38,0.147,
E10,Sample X39,0.144,
E11,Sample X40,0.139,
F02,Sample X41,0.143,
F03,Sample X42,0.155,
F04,Sample X43,0.145,
F05,Sample X44,0.145,
F06,Sample X45,0.214,
F07,Sample X46,0.156,
F08,Sample X47,0.147,
F09,Sample X48,0.146,
F10,Sample X49,0.145,
F11,Sample X50,0.139,
G02,Sample X51,0.144,
G03,Sample X52,0.150,
G04,Sample X53,0.149,
G05,Sample X54,0.150,
G06,Sample X55,0.125,
G07,Sample X56,0.145,
G08,Sample X57,0.146,
G09,Sample X58,0.148,
G10,Sample X59,0.148,
G11,Sample X60,0.150,
