Well,Content,Well Scan: Average (600),
B02,Sample X1,1.172,
B03,Sample X2,1.301,
B04,Sample X3,1.361,
B05,Sample X4,1.105,
B06,Sample X5,0.202,
B07,Sample X6,0.483,
B08,Sample X7,0.096,
B09,Sample X8,0.096,
B10,Sample X9,0.097,
B11,Sample X10,0.099,
C02,Sample X11,0.098,
C03,Sample X12,0.096,
C04,Sample X13,1.131,
C05,Sample X14,0.103,
C06,Sample X15,0.097,
C07,Sample X16,0.107,
C08,Sample X17,0.097,
C09,Sample X18,0.101,
C10,Sample X19,0.098,
C11,Sample X20,0.098,
D02,Sample X21,0.100,
D03,Sample X22,0.095,
D04,Sample X23,0.100,
D05,Sample X24,0.097,
D06,Sample X25,0.103,
D07,Sample X26,0.099,
D08,Sample X27,0.690,
D09,Sample X28,0.097,
D10,Sample X29,0.100,
D11,Sample X30,0.097,
E02,Sample X31,0.098,
E03,Sample X32,0.097,
E04,Sample X33,0.097,
E05,Sample X34,0.637,
E06,Sample X35,0.180,
E07,Sample X36,0.218,
E08,Sample X37,1.117,
E09,Sample X38,0.099,
E10,Sample X39,0.095,
E11,Sample X40,0.098,
F02,Sample X41,0.097,
F03,Sample X42,0.100,
F04,Sample X43,0.098,
F05,Sample X44,1.761,
F06,Sample X45,1.757,
F07,Sample X46,1.083,
F08,Sample X47,0.099,
F09,Sample X48,0.099,
F10,Sample X49,0.097,
F11,Sample X50,0.104,
G02,Sample X51,0.991,
G03,Sample X52,0.437,
G04,Sample X53,0.109,
G05,Sample X54,1.777,
G06,Sample X55,1.782,
G07,Sample X56,1.758,
G08,Sample X57,0.107,
G09,Sample X58,0.231,
G10,Sample X59,0.171,
G11,Sample X60,0.106,
