Well,Content,Well Scan: Average (600),
B02,Sample X1,0.357,
B03,Sample X2,0.791,
B04,Sample X3,0.710,
B05,Sample X4,0.842,
B06,Sample X5,0.502,
B07,Sample X6,0.821,
B08,Sample X7,0.894,
B09,Sample X8,1.012,
B10,Sample X9,0.952,
B11,Sample X10,0.863,
C02,Sample X11,0.169,
C03,Sample X12,0.205,
C04,Sample X13,0.203,
C05,Sample X14,0.244,
C06,Sample X15,0.267,
C07,Sample X16,0.192,
C08,Sample X17,0.156,
C09,Sample X18,0.173,
C10,Sample X19,0.223,
C11,Sample X20,0.277,
D02,Sample X21,1.154,
D03,Sample X22,0.245,
D04,Sample X23,0.256,
D05,Sample X24,0.260,
D06,Sample X25,0.218,
D07,Sample X26,0.250,
D08,Sample X27,0.311,
D09,Sample X28,0.305,
D10,Sample X29,0.294,
D11,Sample X30,0.251,
E02,Sample X31,0.203,
E03,Sample X32,0.200,
E04,Sample X33,0.257,
E05,Sample X34,0.510,
E06,Sample X35,0.390,
E07,Sample X36,0.610,
E08,Sample X37,0.395,
E09,Sample X38,0.319,
E10,Sample X39,0.324,
E11,Sample X40,0.339,
F02,Sample X41,1.122,
F03,Sample X42,1.150,
F04,Sample X43,1.169,
F05,Sample X44,1.202,
F06,Sample X45,1.134,
F07,Sample X46,1.159,
F08,Sample X47,1.246,
F09,Sample X48,1.240,
F10,Sample X49,1.206,
F11,Sample X50,1.146,
G02,Sample X51,0.588,
G03,Sample X52,1.145,
G04,Sample X53,1.081,
G05,Sample X54,1.200,
G06,Sample X55,1.116,
G07,Sample X56,1.189,
G08,Sample X57,1.144,
G09,Sample X58,1.298,
G10,Sample X59,1.215,
G11,Sample X60,0.864,
