Well,Content,Well Scan: Average (600),
B02,Sample X1,0.470,
B03,Sample X2,0.486,
B04,Sample X3,0.521,
B05,Sample X4,0.511,
B06,Sample X5,0.515,
B07,Sample X6,0.479,
B08,Sample X7,0.531,
B09,Sample X8,0.504,
B10,Sample X9,0.522,
B11,Sample X10,0.477,
C02,Sample X11,0.564,
C03,Sample X12,0.495,
C04,Sample X13,0.459,
C05,Sample X14,0.497,
C06,Sample X15,0.483,
C07,Sample X16,0.486,
C08,Sample X17,0.475,
C09,Sample X18,0.457,
C10,Sample X19,0.473,
C11,Sample X20,0.465,
D02,Sample X21,0.556,
D03,Sample X22,0.485,
D04,Sample X23,0.518,
D05,Sample X24,0.594,
D06,Sample X25,0.526,
D07,Sample X26,0.512,
D08,Sample X27,0.529,
D09,Sample X28,0.490,
D10,Sample X29,0.542,
D11,Sample X30,0.540,
E02,Sample X31,0.571,
E03,Sample X32,0.565,
E04,Sample X33,0.545,
E05,Sample X34,0.526,
E06,Sample X35,0.526,
E07,Sample X36,0.533,
E08,Sample X37,0.511,
E09,Sample X38,0.501,
E10,Sample X39,0.575,
E11,Sample X40,0.556,
F02,Sample X41,0.639,
F03,Sample X42,0.191,
F04,Sample X43,0.556,
F05,Sample X44,0.601,
F06,Sample X45,0.946,
F07,Sample X46,0.614,
F08,Sample X47,0.645,
F09,Sample X48,0.610,
F10,Sample X49,0.643,
F11,Sample X50,0.618,
G02,Sample X51,0.672,
G03,Sample X52,0.342,
G04,Sample X53,0.658,
G05,Sample X54,0.336,
G06,Sample X55,0.650,
G07,Sample X56,0.634,
G08,Sample X57,0.641,
G09,Sample X58,0.660,
G10,Sample X59,0.689,
G11,Sample X60,0.690,
