Well,Content,Well Scan: Average (600),
B02,Sample X1,0.440,
B03,Sample X2,0.459,
B04,Sample X3,0.444,
B05,Sample X4,0.447,
B06,Sample X5,0.467,
B07,Sample X6,0.462,
B08,Sample X7,0.370,
B09,Sample X8,0.497,
B10,Sample X9,0.516,
B11,Sample X10,0.502,
C02,Sample X11,0.465,
C03,Sample X12,0.413,
C04,Sample X13,0.424,
C05,Sample X14,0.574,
C06,Sample X15,0.518,
C07,Sample X16,0.545,
C08,Sample X17,0.322,
C09,Sample X18,0.355,
C10,Sample X19,0.339,
C11,Sample X20,0.352,
D02,Sample X21,0.399,
D03,Sample X22,0.384,
D04,Sample X23,0.375,
D05,Sample X24,0.564,
D06,Sample X25,0.527,
D07,Sample X26,0.618,
D08,Sample X27,0.407,
D09,Sample X28,0.386,
D10,Sample X29,0.391,
D11,Sample X30,0.436,
E02,Sample X31,0.518,
E03,Sample X32,0.503,
E04,Sample X33,0.597,
E05,Sample X34,0.549,
E06,Sample X35,0.631,
E07,Sample X36,0.589,
E08,Sample X37,0.481,
E09,Sample X38,0.456,
E10,Sample X39,0.531,
E11,Sample X40,0.482,
F02,Sample X41,0.642,
F03,Sample X42,0.587,
F04,Sample X43,0.723,
F05,Sample X44,0.847,
F06,Sample X45,0.927,
F07,Sample X46,0.870,
F08,Sample X47,0.962,
F09,Sample X48,1.002,
F10,Sample X49,1.071,
F11,Sample X50,1.115,
G02,Sample X51,0.808,
G03,Sample X52,0.918,
G04,Sample X53,1.027,
G05,Sample X54,1.057,
G06,Sample X55,1.069,
G07,Sample X56,1.058,
G08,Sample X57,1.069,
G09,Sample X58,0.961,
G10,Sample X59,1.076,
G11,Sample X60,1.108,
