Well,Content,Well Scan: Average (600),
B02,Sample X1,1.258,
B03,Sample X2,1.259,
B04,Sample X3,1.204,
B05,Sample X4,1.171,
B06,Sample X5,1.296,
B07,Sample X6,1.360,
B08,Sample X7,1.371,
B09,Sample X8,1.396,
B10,Sample X9,1.446,
B11,Sample X10,1.517,
C02,Sample X11,1.582,
C03,Sample X12,1.655,
C04,Sample X13,1.588,
C05,Sample X14,1.598,
C06,Sample X15,1.576,
C07,Sample X16,1.578,
C08,Sample X17,1.621,
C09,Sample X18,1.618,
C10,Sample X19,1.661,
C11,Sample X20,1.563,
D02,Sample X21,1.684,
D03,Sample X22,1.744,
D04,Sample X23,1.694,
D05,Sample X24,1.732,
D06,Sample X25,1.748,
D07,Sample X26,1.673,
D08,Sample X27,1.779,
D09,Sample X28,1.761,
D10,Sample X29,1.764,
D11,Sample X30,1.720,
E02,Sample X31,1.704,
E03,Sample X32,1.739,
E04,Sample X33,1.723,
E05,Sample X34,1.745,
E06,Sample X35,1.768,
E07,Sample X36,1.758,
E08,Sample X37,1.821,
E09,Sample X38,1.757,
E10,Sample X39,1.767,
E11,Sample X40,1.764,
F02,Sample X41,1.738,
F03,Sample X42,1.744,
F04,Sample X43,1.712,
F05,Sample X44,1.767,
F06,Sample X45,1.753,
F07,Sample X46,1.743,
F08,Sample X47,1.756,
F09,Sample X48,1.752,
F10,Sample X49,1.744,
F11,Sample X50,1.716,
G02,Sample X51,1.968,
G03,Sample X52,1.769,
G04,Sample X53,1.699,
G05,Sample X54,1.719,
G06,Sample X55,1.757,
G07,Sample X56,1.721,
G08,Sample X57,1.693,
G09,Sample X58,1.725,
G10,Sample X59,1.736,
G11,Sample X60,1.934,
