Well,Content,Well Scan: Average (600),
B02,Sample X1,0.966,
B03,Sample X2,0.196,
B04,Sample X3,0.989,
B05,Sample X4,0.287,
B06,Sample X5,0.267,
B07,Sample X6,1.059,
B08,Sample X7,0.193,
B09,Sample X8,0.164,
B10,Sample X9,0.126,
B11,Sample X10,0.146,
C02,Sample X11,0.287,
C03,Sample X12,0.160,
C04,Sample X13,0.095,
C05,Sample X14,1.284,
C06,Sample X15,1.319,
C07,Sample X16,1.199,
C08,Sample X17,0.181,
C09,Sample X18,0.212,
C10,Sample X19,0.282,
C11,Sample X20,0.209,
D02,Sample X21,0.124,
D03,Sample X22,0.136,
D04,Sample X23,0.135,
D05,Sample X24,1.375,
D06,Sample X25,1.427,
D07,Sample X26,1.417,
D08,Sample X27,0.182,
D09,Sample X28,0.398,
D10,Sample X29,0.157,
D11,Sample X30,0.216,
E02,Sample X31,0.122,
E03,Sample X32,0.177,
E04,Sample X33,0.157,
E05,Sample X34,0.248,
E06,Sample X35,0.105,
E07,Sample X36,1.484,
E08,Sample X37,0.116,
E09,Sample X38,0.150,
E10,Sample X39,0.121,
E11,Sample X40,0.109,
F02,Sample X41,0.167,
F03,Sample X42,0.143,
F04,Sample X43,0.152,
F05,Sample X44,1.430,
F06,Sample X45,0.582,
F07,Sample X46,1.057,
F08,Sample X47,0.280,
F09,Sample X48,0.143,
F10,Sample X49,0.159,
F11,Sample X50,0.123,
G02,Sample X51,1.084,
G03,Sample X52,0.680,
G04,Sample X53,0.625,
G05,Sample X54,0.280,
G06,Sample X55,1.599,
G07,Sample X56,0.375,
G08,Sample X57,1.292,
G09,Sample X58,1.412,
G10,Sample X59,0.170,
G11,Sample X60,0.349,
