Well,Content,Well Scan: Average (600),
B02,Sample X1,0.960,
B03,Sample X2,1.192,
B04,Sample X3,1.145,
B05,Sample X4,1.325,
B06,Sample X5,1.521,
B07,Sample X6,1.213,
B08,Sample X7,1.387,
B09,Sample X8,1.377,
B10,Sample X9,1.389,
B11,Sample X10,1.497,
C02,Sample X11,1.356,
C03,Sample X12,1.381,
C04,Sample X13,1.398,
C05,Sample X14,1.781,
C06,Sample X15,1.485,
C07,Sample X16,1.526,
C08,Sample X17,1.490,
C09,Sample X18,1.464,
C10,Sample X19,1.352,
C11,Sample X20,1.482,
D02,Sample X21,1.343,
D03,Sample X22,1.397,
D04,Sample X23,1.432,
D05,Sample X24,1.320,
D06,Sample X25,1.448,
D07,Sample X26,1.377,
D08,Sample X27,1.431,
D09,Sample X28,1.310,
D10,Sample X29,1.476,
D11,Sample X30,1.494,
E02,Sample X31,1.451,
E03,Sample X32,1.441,
E04,Sample X33,1.257,
E05,Sample X34,1.379,
E06,Sample X35,1.408,
E07,Sample X36,1.437,
E08,Sample X37,1.428,
E09,Sample X38,1.382,
E10,Sample X39,1.379,
E11,Sample X40,1.465,
F02,Sample X41,1.381,
F03,Sample X42,1.365,
F04,Sample X43,1.384,
F05,Sample X44,1.371,
F06,Sample X45,1.335,
F07,Sample X46,1.376,
F08,Sample X47,1.330,
F09,Sample X48,1.314,
F10,Sample X49,1.438,
F11,Sample X50,1.277,
G02,Sample X51,1.575,
G03,Sample X52,1.426,
G04,Sample X53,1.299,
G05,Sample X54,1.311,
G06,Sample X55,1.294,
G07,Sample X56,1.239,
G08,Sample X57,1.357,
G09,Sample X58,1.338,
G10,Sample X59,1.246,
G11,Sample X60,1.272,
