Well,Content,Well Scan: Average (600),
B02,Sample X1,1.003,
B03,Sample X2,0.991,
B04,Sample X3,0.995,
B05,Sample X4,1.003,
B06,Sample X5,1.057,
B07,Sample X6,1.023,
B08,Sample X7,1.053,
B09,Sample X8,1.070,
B10,Sample X9,1.476,
B11,Sample X10,1.109,
C02,Sample X11,0.134,
C03,Sample X12,0.144,
C04,Sample X13,0.114,
C05,Sample X14,0.985,
C06,Sample X15,0.996,
C07,Sample X16,0.952,
C08,Sample X17,0.121,
C09,Sample X18,0.112,
C10,Sample X19,0.138,
C11,Sample X20,0.119,
D02,Sample X21,1.429,
D03,Sample X22,0.107,
D04,Sample X23,0.115,
D05,Sample X24,1.273,
D06,Sample X25,1.270,
D07,Sample X26,1.236,
D08,Sample X27,0.112,
D09,Sample X28,0.119,
D10,Sample X29,0.107,
D11,Sample X30,0.105,
E02,Sample X31,0.126,
E03,Sample X32,0.127,
E04,Sample X33,0.138,
E05,Sample X34,1.520,
E06,Sample X35,1.501,
E07,Sample X36,1.472,
E08,Sample X37,0.158,
E09,Sample X38,0.163,
E10,Sample X39,0.152,
E11,Sample X40,0.193,
F02,Sample X41,1.638,
F03,Sample X42,1.664,
F04,Sample X43,1.630,
F05,Sample X44,1.649,
F06,Sample X45,1.642,
F07,Sample X46,1.614,
F08,Sample X47,1.663,
F09,Sample X48,1.626,
F10,Sample X49,1.582,
F11,Sample X50,1.630,
G02,Sample X51,1.724,
G03,Sample X52,1.749,
G04,Sample X53,1.739,
G05,Sample X54,1.730,
G06,Sample X55,1.738,
G07,Sample X56,1.702,
G08,Sample X57,1.636,
G09,Sample X58,1.659,
G10,Sample X59,1.718,
G11,Sample X60,1.695,
