Well,Content,Well Scan: Average (600),
B02,Sample X1,1.300,
B03,Sample X2,1.393,
B04,Sample X3,1.272,
B05,Sample X4,1.375,
B06,Sample X5,1.354,
B07,Sample X6,1.397,
B08,Sample X7,0.276,
B09,Sample X8,1.478,
B10,Sample X9,1.518,
B11,Sample X10,1.546,
C02,Sample X11,0.097,
C03,Sample X12,0.094,
C04,Sample X13,0.094,
C05,Sample X14,0.099,
C06,Sample X15,0.098,
C07,Sample X16,0.094,
C08,Sample X17,0.099,
C09,Sample X18,0.096,
C10,Sample X19,0.096,
C11,Sample X20,0.095,
D02,Sample X21,0.248,
D03,Sample X22,1.152,
D04,Sample X23,0.125,
D05,Sample X24,0.611,
D06,Sample X25,0.156,
D07,Sample X26,0.797,
D08,Sample X27,0.102,
D09,Sample X28,0.100,
D10,Sample X29,0.098,
D11,Sample X30,0.779,
E02,Sample X31,0.761,
E03,Sample X32,0.128,
E04,Sample X33,0.140,
E05,Sample X34,0.335,
E06,Sample X35,0.255,
E07,Sample X36,0.236,
E08,Sample X37,0.107,
E09,Sample X38,0.112,
E10,Sample X39,0.118,
E11,Sample X40,1.364,
F02,Sample X41,1.850,
F03,Sample X42,1.736,
F04,Sample X43,1.817,
F05,Sample X44,1.839,
F06,Sample X45,1.839,
F07,Sample X46,1.716,
F08,Sample X47,1.860,
F09,Sample X48,1.728,
F10,Sample X49,1.769,
F11,Sample X50,1.782,
G02,Sample X51,1.779,
G03,Sample X52,1.810,
G04,Sample X53,1.764,
G05,Sample X54,1.827,
G06,Sample X55,1.869,
G07,Sample X56,1.856,
G08,Sample X57,1.730,
G09,Sample X58,1.823,
G10,Sample X59,1.839,
G11,Sample X60,1.806,
