Well,Content,Well Scan: Average (600),
B02,Sample X1,0.327,
B03,Sample X2,0.337,
B04,Sample X3,0.331,
B05,Sample X4,0.350,
B06,Sample X5,0.305,
B07,Sample X6,0.338,
B08,Sample X7,0.306,
B09,Sample X8,0.323,
B10,Sample X9,0.328,
B11,Sample X10,0.310,
C02,Sample X11,0.310,
C03,Sample X12,0.323,
C04,Sample X13,0.287,
C05,Sample X14,0.268,
C06,Sample X15,0.302,
C07,Sample X16,0.295,
C08,Sample X17,0.298,
C09,Sample X18,0.297,
C10,Sample X19,0.301,
C11,Sample X20,0.320,
D02,Sample X21,0.299,
D03,Sample X22,0.346,
D04,Sample X23,0.298,
D05,Sample X24,0.340,
D06,Sample X25,0.305,
D07,Sample X26,0.293,
D08,Sample X27,0.294,
D09,Sample X28,0.280,
D10,Sample X29,0.271,
D11,Sample X30,0.273,
E02,Sample X31,0.254,
E03,Sample X32,0.255,
E04,Sample X33,0.304,
E05,Sample X34,0.270,
E06,Sample X35,0.245,
E07,Sample X36,0.272,
E08,Sample X37,0.266,
E09,Sample X38,0.254,
E10,Sample X39,0.273,
E11,Sample X40,0.285,
F02,Sample X41,0.259,
F03,Sample X42,0.286,
F04,Sample X43,0.254,
F05,Sample X44,0.245,
F06,Sample X45,0.248,
F07,Sample X46,0.257,
F08,Sample X47,0.245,
F09,Sample X48,0.227,
F10,Sample X49,0.260,
F11,Sample X50,0.250,
G02,Sample X51,0.246,
G03,Sample X52,0.227,
G04,Sample X53,0.234,
G05,Sample X54,0.215,
G06,Sample X55,0.237,
G07,Sample X56,0.224,
G08,Sample X57,0.254,
G09,Sample X58,0.235,
G10,Sample X59,0.240,
G11,Sample X60,0.247,
