Well,Content,Well Scan: Average (600),
B02,Sample X1,1.108,
B03,Sample X2,1.666,
B04,Sample X3,1.417,
B05,Sample X4,1.371,
B06,Sample X5,1.410,
B07,Sample X6,1.186,
B08,Sample X7,1.355,
B09,Sample X8,1.386,
B10,Sample X9,1.464,
B11,Sample X10,1.489,
C02,Sample X11,0.139,
C03,Sample X12,0.169,
C04,Sample X13,0.255,
C05,Sample X14,0.467,
C06,Sample X15,0.560,
C07,Sample X16,0.490,
C08,Sample X17,0.266,
C09,Sample X18,0.311,
C10,Sample X19,0.326,
C11,Sample X20,0.274,
D02,Sample X21,0.998,
D03,Sample X22,0.604,
D04,Sample X23,0.583,
D05,Sample X24,0.815,
D06,Sample X25,0.873,
D07,Sample X26,0.900,
D08,Sample X27,0.728,
D09,Sample X28,0.687,
D10,Sample X29,0.864,
D11,Sample X30,0.727,
E02,Sample X31,1.327,
E03,Sample X32,1.018,
E04,Sample X33,1.244,
E05,Sample X34,1.070,
E06,Sample X35,0.847,
E07,Sample X36,0.888,
E08,Sample X37,1.204,
E09,Sample X38,1.192,
E10,Sample X39,1.251,
E11,Sample X40,1.301,
F02,Sample X41,1.322,
F03,Sample X42,1.015,
F04,Sample X43,0.901,
F05,Sample X44,0.813,
F06,Sample X45,1.056,
F07,Sample X46,1.198,
F08,Sample X47,1.219,
F09,Sample X48,1.310,
F10,Sample X49,1.157,
F11,Sample X50,1.373,
G02,Sample X51,1.235,
G03,Sample X52,1.295,
G04,Sample X53,0.931,
G05,Sample X54,0.867,
G06,Sample X55,0.907,
G07,Sample X56,1.160,
G08,Sample X57,0.984,
G09,Sample X58,1.130,
G10,Sample X59,0.893,
G11,Sample X60,1.494,
