Well,Content,Well Scan: Average (600),
B02,Sample X1,0.280,
B03,Sample X2,0.274,
B04,Sample X3,0.218,
B05,Sample X4,0.245,
B06,Sample X5,0.211,
B07,Sample X6,0.248,
B08,Sample X7,0.244,
B09,Sample X8,0.244,
B10,Sample X9,0.252,
B11,Sample X10,0.267,
C02,Sample X11,0.258,
C03,Sample X12,0.230,
C04,Sample X13,0.242,
C05,Sample X14,0.239,
C06,Sample X15,0.219,
C07,Sample X16,0.244,
C08,Sample X17,0.232,
C09,Sample X18,0.238,
C10,Sample X19,0.235,
C11,Sample X20,0.257,
D02,Sample X21,0.240,
D03,Sample X22,0.245,
D04,Sample X23,0.248,
D05,Sample X24,0.240,
D06,Sample X25,0.249,
D07,Sample X26,0.257,
D08,Sample X27,0.260,
D09,Sample X28,0.242,
D10,Sample X29,0.239,
D11,Sample X30,0.226,
E02,Sample X31,0.247,
E03,Sample X32,0.309,
E04,Sample X33,0.249,
E05,Sample X34,0.365,
E06,Sample X35,0.237,
E07,Sample X36,0.336,
E08,Sample X37,0.362,
E09,Sample X38,0.347,
E10,Sample X39,0.291,
E11,Sample X40,0.227,
F02,Sample X41,0.219,
F03,Sample X42,0.391,
F04,Sample X43,0.414,
F05,Sample X44,0.484,
F06,Sample X45,0.484,
F07,Sample X46,0.504,
F08,Sample X47,0.436,
F09,Sample X48,0.347,
F10,Sample X49,0.312,
F11,Sample X50,0.356,
G02,Sample X51,0.248,
G03,Sample X52,0.234,
G04,Sample X53,0.369,
G05,Sample X54,0.272,
G06,Sample X55,0.368,
G07,Sample X56,0.340,
G08,Sample X57,0.515,
G09,Sample X58,0.479,
G10,Sample X59,0.349,
G11,Sample X60,0.279,
