Well,Content,Well Scan: Average (600),
B02,Sample X1,0.430,
B03,Sample X2,0.354,
B04,Sample X3,0.339,
B05,Sample X4,0.382,
B06,Sample X5,0.349,
B07,Sample X6,0.383,
B08,Sample X7,0.300,
B09,Sample X8,0.282,
B10,Sample X9,0.357,
B11,Sample X10,0.371,
C02,Sample X11,0.280,
C03,Sample X12,0.279,
C04,Sample X13,0.280,
C05,Sample X14,0.331,
C06,Sample X15,0.322,
C07,Sample X16,0.309,
C08,Sample X17,0.279,
C09,Sample X18,0.263,
C10,Sample X19,0.278,
C11,Sample X20,0.294,
D02,Sample X21,0.306,
D03,Sample X22,0.313,
D04,Sample X23,0.291,
D05,Sample X24,0.323,
D06,Sample X25,0.329,
D07,Sample X26,0.315,
D08,Sample X27,0.299,
D09,Sample X28,0.302,
D10,Sample X29,0.308,
D11,Sample X30,0.276,
E02,Sample X31,0.287,
E03,Sample X32,0.294,
E04,Sample X33,0.327,
E05,Sample X34,0.321,
E06,Sample X35,0.334,
E07,Sample X36,0.300,
E08,Sample X37,0.290,
E09,Sample X38,0.313,
E10,Sample X39,0.285,
E11,Sample X40,0.312,
F02,Sample X41,0.347,
F03,Sample X42,0.373,
F04,Sample X43,0.319,
F05,Sample X44,0.357,
F06,Sample X45,0.361,
F07,Sample X46,0.306,
F08,Sample X47,0.331,
F09,Sample X48,0.366,
F10,Sample X49,0.384,
F11,Sample X50,0.340,
G02,Sample X51,0.375,
G03,Sample X52,0.392,
G04,Sample X53,0.440,
G05,Sample X54,0.364,
G06,Sample X55,0.365,
G07,Sample X56,0.371,
G08,Sample X57,0.375,
G09,Sample X58,0.380,
G10,Sample X59,0.407,
G11,Sample X60,0.333,
