Well,Content,Well Scan: Average (600),
B02,Sample X1,0.739,
B03,Sample X2,0.418,
B04,Sample X3,1.190,
B05,Sample X4,1.368,
B06,Sample X5,1.398,
B07,Sample X6,1.429,
B08,Sample X7,0.113,
B09,Sample X8,0.905,
B10,Sample X9,0.980,
B11,Sample X10,0.668,
C02,Sample X11,0.093,
C03,Sample X12,0.094,
C04,Sample X13,0.096,
C05,Sample X14,0.094,
C06,Sample X15,1.093,
C07,Sample X16,0.094,
C08,Sample X17,0.095,
C09,Sample X18,0.094,
C10,Sample X19,0.095,
C11,Sample X20,0.095,
D02,Sample X21,0.113,
D03,Sample X22,0.094,
D04,Sample X23,0.095,
D05,Sample X24,1.248,
D06,Sample X25,1.228,
D07,Sample X26,1.426,
D08,Sample X27,0.094,
D09,Sample X28,0.095,
D10,Sample X29,0.095,
D11,Sample X30,0.097,
E02,Sample X31,0.180,
E03,Sample X32,0.120,
E04,Sample X33,1.198,
E05,Sample X34,0.673,
E06,Sample X35,0.761,
E07,Sample X36,0.902,
E08,Sample X37,0.115,
E09,Sample X38,0.117,
E10,Sample X39,0.113,
E11,Sample X40,0.107,
F02,Sample X41,0.639,
F03,Sample X42,0.112,
F04,Sample X43,0.118,
F05,Sample X44,1.804,
F06,Sample X45,1.842,
F07,Sample X46,1.814,
F08,Sample X47,0.465,
F09,Sample X48,0.147,
F10,Sample X49,0.349,
F11,Sample X50,1.088,
G02,Sample X51,0.506,
G03,Sample X52,0.522,
G04,Sample X53,0.449,
G05,Sample X54,1.747,
G06,Sample X55,1.797,
G07,Sample X56,1.799,
G08,Sample X57,0.734,
G09,Sample X58,0.290,
G10,Sample X59,0.858,
G11,Sample X60,0.342,
