Well,Content,Well Scan: Average (600),
B02,Sample X1,0.605,
B03,Sample X2,0.343,
B04,Sample X3,0.676,
B05,Sample X4,0.180,
B06,Sample X5,0.619,
B07,Sample X6,0.497,
B08,Sample X7,0.138,
B09,Sample X8,0.903,
B10,Sample X9,0.142,
B11,Sample X10,0.132,
C02,Sample X11,0.196,
C03,Sample X12,0.101,
C04,Sample X13,0.102,
C05,Sample X14,0.100,
C06,Sample X15,0.100,
C07,Sample X16,0.098,
C08,Sample X17,0.101,
C09,Sample X18,0.104,
C10,Sample X19,0.101,
C11,Sample X20,0.102,
D02,Sample X21,0.304,
D03,Sample X22,0.110,
D04,Sample X23,0.099,
D05,Sample X24,0.104,
D06,Sample X25,0.100,
D07,Sample X26,0.098,
D08,Sample X27,0.100,
D09,Sample X28,0.104,
D10,Sample X29,0.100,
D11,Sample X30,0.100,
E02,Sample X31,0.147,
E03,Sample X32,0.104,
E04,Sample X33,0.102,
E05,Sample X34,0.148,
E06,Sample X35,0.105,
E07,Sample X36,0.102,
E08,Sample X37,0.108,
E09,Sample X38,0.101,
E10,Sample X39,0.099,
E11,Sample X40,0.101,
F02,Sample X41,0.122,
F03,Sample X42,0.296,
F04,Sample X43,0.915,
F05,Sample X44,0.119,
F06,Sample X45,0.120,
F07,Sample X46,1.328,
F08,Sample X47,0.115,
F09,Sample X48,0.122,
F10,Sample X49,0.118,
F11,Sample X50,0.264,
G02,Sample X51,0.234,
G03,Sample X52,0.599,
G04,Sample X53,0.200,
G05,Sample X54,0.617,
G06,Sample X55,0.786,
G07,Sample X56,1.089,
G08,Sample X57,0.189,
G09,Sample X58,0.955,
G10,Sample X59,1.044,
G11,Sample X60,0.346,
