Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.497,
B03,Sample X2,0.543,
B04,Sample X3,0.601,
B05,Sample X4,0.586,
B06,Sample X5,0.606,
B07,Sample X6,0.581,
B08,Sample X7,0.595,
B09,Sample X8,0.575,
B10,Sample X9,0.598,
B11,Sample X10,0.563,
C02,Sample X11,0.534,
C03,Sample X12,0.590,
C04,Sample X13,0.597,
C05,Sample X14,0.648,
C06,Sample X15,0.648,
C07,Sample X16,0.647,
C08,Sample X17,0.504,
C09,Sample X18,0.626,
C10,Sample X19,0.640,
C11,Sample X20,0.612,
D02,Sample X21,0.557,
D03,Sample X22,0.594,
D04,Sample X23,0.595,
D05,Sample X24,0.668,
D06,Sample X25,0.464,
D07,Sample X26,0.621,
D08,Sample X27,0.432,
D09,Sample X28,0.574,
D10,Sample X29,0.641,
D11,Sample X30,0.580,
E02,Sample X31,0.520,
E03,Sample X32,0.575,
E04,Sample X33,0.631,
E05,Sample X34,0.665,
E06,Sample X35,0.649,
E07,Sample X36,0.620,
E08,Sample X37,0.497,
E09,Sample X38,0.587,
E10,Sample X39,0.650,
E11,Sample X40,0.603,
F02,Sample X41,0.490,
F03,Sample X42,0.546,
F04,Sample X43,0.623,
F05,Sample X44,0.612,
F06,Sample X45,0.621,
F07,Sample X46,0.634,
F08,Sample X47,0.483,
F09,Sample X48,0.481,
F10,Sample X49,0.496,
F11,Sample X50,0.569,
G02,Sample X51,0.337,
G03,Sample X52,0.398,
G04,Sample X53,0.520,
G05,Sample X54,0.533,
G06,Sample X55,0.554,
G07,Sample X56,0.582,
G08,Sample X57,0.557,
G09,Sample X58,0.605,
G10,Sample X59,0.553,
G11,Sample X60,0.482,
