Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.095,
B03,Sample X2,0.098,
B04,Sample X3,0.095,
B05,Sample X4,0.098,
B06,Sample X5,0.097,
B07,Sample X6,0.095,
B08,Sample X7,0.099,
B09,Sample X8,0.096,
B10,Sample X9,0.097,
B11,Sample X10,0.097,
C02,Sample X11,0.096,
C03,Sample X12,0.096,
C04,Sample X13,0.095,
C05,Sample X14,0.095,
C06,Sample X15,0.098,
C07,Sample X16,0.097,
C08,Sample X17,0.095,
C09,Sample X18,0.098,
C10,Sample X19,0.096,
C11,Sample X20,0.097,
D02,Sample X21,0.096,
D03,Sample X22,0.096,
D04,Sample X23,0.100,
D05,Sample X24,0.098,
D06,Sample X25,0.098,
D07,Sample X26,0.097,
D08,Sample X27,0.096,
D09,Sample X28,0.096,
D10,Sample X29,0.098,
D11,Sample X30,0.104,
E02,Sample X31,0.096,
E03,Sample X32,0.095,
E04,Sample X33,0.096,
E05,Sample X34,0.095,
E06,Sample X35,0.097,
E07,Sample X36,0.098,
E08,Sample X37,0.097,
E09,Sample X38,0.095,
E10,Sample X39,0.095,
E11,Sample X40,0.099,
F02,Sample X41,0.099,
F03,Sample X42,0.096,
F04,Sample X43,0.095,
F05,Sample X44,0.097,
F06,Sample X45,0.140,
F07,Sample X46,0.100,
F08,Sample X47,0.095,
F09,Sample X48,0.096,
F10,Sample X49,0.095,
F11,Sample X50,0.097,
G02,Sample X51,0.096,
G03,Sample X52,0.095,
G04,Sample X53,0.096,
G05,Sample X54,0.099,
G06,Sample X55,0.096,
G07,Sample X56,0.095,
G08,Sample X57,0.097,
G09,Sample X58,0.096,
G10,Sample X59,0.096,
G11,Sample X60,0.103,
