Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.204,
B03,Sample X2,0.208,
B04,Sample X3,0.187,
B05,Sample X4,0.194,
B06,Sample X5,0.194,
B07,Sample X6,0.197,
B08,Sample X7,0.195,
B09,Sample X8,0.207,
B10,Sample X9,0.227,
B11,Sample X10,0.270,
C02,Sample X11,0.213,
C03,Sample X12,0.179,
C04,Sample X13,0.163,
C05,Sample X14,0.192,
C06,Sample X15,0.189,
C07,Sample X16,0.184,
C08,Sample X17,0.180,
C09,Sample X18,0.179,
C10,Sample X19,0.201,
C11,Sample X20,0.242,
D02,Sample X21,0.212,
D03,Sample X22,0.101,
D04,Sample X23,0.147,
D05,Sample X24,0.186,
D06,Sample X25,0.174,
D07,Sample X26,0.174,
D08,Sample X27,0.160,
D09,Sample X28,0.175,
D10,Sample X29,0.183,
D11,Sample X30,0.233,
E02,Sample X31,0.180,
E03,Sample X32,0.101,
E04,Sample X33,0.104,
E05,Sample X34,0.134,
E06,Sample X35,0.184,
E07,Sample X36,0.123,
E08,Sample X37,0.162,
E09,Sample X38,0.188,
E10,Sample X39,0.206,
E11,Sample X40,0.243,
F02,Sample X41,0.164,
F03,Sample X42,0.157,
F04,Sample X43,0.180,
F05,Sample X44,0.158,
F06,Sample X45,0.198,
F07,Sample X46,0.195,
F08,Sample X47,0.178,
F09,Sample X48,0.201,
F10,Sample X49,0.215,
F11,Sample X50,0.252,
G02,Sample X51,0.208,
G03,Sample X52,0.164,
G04,Sample X53,0.186,
G05,Sample X54,0.189,
G06,Sample X55,0.211,
G07,Sample X56,0.215,
G08,Sample X57,0.199,
G09,Sample X58,0.214,
G10,Sample X59,0.232,
G11,Sample X60,0.276,
