Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.183,
B03,Sample X2,0.173,
B04,Sample X3,0.164,
B05,Sample X4,0.150,
B06,Sample X5,0.148,
B07,Sample X6,0.134,
B08,Sample X7,0.114,
B09,Sample X8,0.100,
B10,Sample X9,0.106,
B11,Sample X10,0.098,
C02,Sample X11,0.160,
C03,Sample X12,0.191,
C04,Sample X13,0.189,
C05,Sample X14,0.177,
C06,Sample X15,0.182,
C07,Sample X16,0.167,
C08,Sample X17,0.165,
C09,Sample X18,0.122,
C10,Sample X19,0.120,
C11,Sample X20,0.098,
D02,Sample X21,0.154,
D03,Sample X22,0.194,
D04,Sample X23,0.176,
D05,Sample X24,0.188,
D06,Sample X25,0.178,
D07,Sample X26,0.186,
D08,Sample X27,0.185,
D09,Sample X28,0.112,
D10,Sample X29,0.109,
D11,Sample X30,0.100,
E02,Sample X31,0.115,
E03,Sample X32,0.148,
E04,Sample X33,0.143,
E05,Sample X34,0.161,
E06,Sample X35,0.164,
E07,Sample X36,0.153,
E08,Sample X37,0.150,
E09,Sample X38,0.123,
E10,Sample X39,0.105,
E11,Sample X40,0.098,
F02,Sample X41,0.105,
F03,Sample X42,0.123,
F04,Sample X43,0.109,
F05,Sample X44,0.125,
F06,Sample X45,0.112,
F07,Sample X46,0.113,
F08,Sample X47,0.107,
F09,Sample X48,0.103,
F10,Sample X49,0.098,
F11,Sample X50,0.098,
G02,Sample X51,0.105,
G03,Sample X52,0.099,
G04,Sample X53,0.101,
G05,Sample X54,0.101,
G06,Sample X55,0.101,
G07,Sample X56,0.100,
G08,Sample X57,0.109,
G09,Sample X58,0.098,
G10,Sample X59,0.098,
G11,Sample X60,0.099,
