Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.096,
B03,Sample X2,0.098,
B04,Sample X3,0.114,
B05,Sample X4,0.100,
B06,Sample X5,0.099,
B07,Sample X6,0.230,
B08,Sample X7,0.142,
B09,Sample X8,0.164,
B10,Sample X9,0.128,
B11,Sample X10,0.097,
C02,Sample X11,0.098,
C03,Sample X12,0.099,
C04,Sample X13,0.160,
C05,Sample X14,0.145,
C06,Sample X15,0.227,
C07,Sample X16,0.265,
C08,Sample X17,0.223,
C09,Sample X18,0.263,
C10,Sample X19,0.166,
C11,Sample X20,0.108,
D02,Sample X21,0.107,
D03,Sample X22,0.109,
D04,Sample X23,0.178,
D05,Sample X24,0.241,
D06,Sample X25,0.285,
D07,Sample X26,0.294,
D08,Sample X27,0.283,
D09,Sample X28,0.259,
D10,Sample X29,0.180,
D11,Sample X30,0.106,
E02,Sample X31,0.098,
E03,Sample X32,0.108,
E04,Sample X33,0.173,
E05,Sample X34,0.172,
E06,Sample X35,0.228,
E07,Sample X36,0.292,
E08,Sample X37,0.282,
E09,Sample X38,0.244,
E10,Sample X39,0.172,
E11,Sample X40,0.120,
F02,Sample X41,0.097,
F03,Sample X42,0.119,
F04,Sample X43,0.142,
F05,Sample X44,0.165,
F06,Sample X45,0.182,
F07,Sample X46,0.183,
F08,Sample X47,0.189,
F09,Sample X48,0.188,
F10,Sample X49,0.148,
F11,Sample X50,0.102,
G02,Sample X51,0.097,
G03,Sample X52,0.098,
G04,Sample X53,0.101,
G05,Sample X54,0.102,
G06,Sample X55,0.106,
G07,Sample X56,0.105,
G08,Sample X57,0.109,
G09,Sample X58,0.109,
G10,Sample X59,0.103,
G11,Sample X60,0.100,
