Well,Content,Raw Data (600),
,Time,0 min ,
B02,Sample X1,0.163,
B03,Sample X2,0.202,
B04,Sample X3,0.282,
B05,Sample X4,0.265,
B06,Sample X5,0.298,
B07,Sample X6,0.298,
B08,Sample X7,0.281,
B09,Sample X8,0.244,
B10,Sample X9,0.208,
B11,Sample X10,0.118,
C02,Sample X11,0.175,
C03,Sample X12,0.225,
C04,Sample X13,0.293,
C05,Sample X14,0.285,
C06,Sample X15,0.332,
C07,Sample X16,0.311,
C08,Sample X17,0.301,
C09,Sample X18,0.285,
C10,Sample X19,0.264,
C11,Sample X20,0.150,
D02,Sample X21,0.191,
D03,Sample X22,0.218,
D04,Sample X23,0.304,
D05,Sample X24,0.309,
D06,Sample X25,0.323,
D07,Sample X26,0.328,
D08,Sample X27,0.304,
D09,Sample X28,0.293,
D10,Sample X29,0.257,
D11,Sample X30,0.161,
E02,Sample X31,0.140,
E03,Sample X32,0.185,
E04,Sample X33,0.247,
E05,Sample X34,0.320,
E06,Sample X35,0.324,
E07,Sample X36,0.342,
E08,Sample X37,0.314,
E09,Sample X38,0.299,
E10,Sample X39,0.230,
E11,Sample X40,0.147,
F02,Sample X41,0.126,
F03,Sample X42,0.162,
F04,Sample X43,0.220,
F05,Sample X44,0.255,
F06,Sample X45,0.270,
F07,Sample X46,0.285,
F08,Sample X47,0.286,
F09,Sample X48,0.260,
F10,Sample X49,0.207,
F11,Sample X50,0.120,
G02,Sample X51,0.098,
G03,Sample X52,0.109,
G04,Sample X53,0.143,
G05,Sample X54,0.159,
G06,Sample X55,0.180,
G07,Sample X56,0.212,
G08,Sample X57,0.191,
G09,Sample X58,0.174,
G10,Sample X59,0.138,
G11,Sample X60,0.099,
