Well,Content,Well Scan: Average (600),
B02,Sample X1,0.246,
B03,Sample X2,0.254,
B04,Sample X3,0.243,
B05,Sample X4,0.239,
B06,Sample X5,0.244,
B07,Sample X6,0.222,
B08,Sample X7,0.232,
B09,Sample X8,0.233,
B10,Sample X9,0.236,
B11,Sample X10,0.238,
C02,Sample X11,0.208,
C03,Sample X12,0.210,
C04,Sample X13,0.210,
C05,Sample X14,0.212,
C06,Sample X15,0.215,
C07,Sample X16,0.211,
C08,Sample X17,0.206,
C09,Sample X18,0.215,
C10,Sample X19,0.237,
C11,Sample X20,0.239,
D02,Sample X21,0.221,
D03,Sample X22,0.216,
D04,Sample X23,0.221,
D05,Sample X24,0.211,
D06,Sample X25,0.220,
D07,Sample X26,0.207,
D08,Sample X27,0.236,
D09,Sample X28,0.206,
D10,Sample X29,0.237,
D11,Sample X30,0.232,
E02,Sample X31,0.235,
E03,Sample X32,0.207,
E04,Sample X33,0.232,
E05,Sample X34,0.214,
E06,Sample X35,0.225,
E07,Sample X36,0.203,
E08,Sample X37,0.191,
E09,Sample X38,0.239,
E10,Sample X39,0.226,
E11,Sample X40,0.247,
F02,Sample X41,0.230,
F03,Sample X42,0.218,
F04,Sample X43,0.221,
F05,Sample X44,0.213,
F06,Sample X45,0.210,
F07,Sample X46,0.201,
F08,Sample X47,0.199,
F09,Sample X48,0.186,
F10,Sample X49,0.188,
F11,Sample X50,0.210,
G02,Sample X51,0.208,
G03,Sample X52,0.203,
G04,Sample X53,0.220,
G05,Sample X54,0.200,
G06,Sample X55,0.221,
G07,Sample X56,0.198,
G08,Sample X57,0.178,
G09,Sample X58,0.200,
G10,Sample X59,0.211,
G11,Sample X60,0.167,
