Well,Content,Well Scan: Average (600),
B02,Sample X1,0.783,
B03,Sample X2,0.219,
B04,Sample X3,0.737,
B05,Sample X4,0.308,
B06,Sample X5,0.163,
B07,Sample X6,0.742,
B08,Sample X7,0.192,
B09,Sample X8,0.223,
B10,Sample X9,0.168,
B11,Sample X10,0.167,
C02,Sample X11,0.261,
C03,Sample X12,0.228,
C04,Sample X13,0.095,
C05,Sample X14,0.775,
C06,Sample X15,0.839,
C07,Sample X16,0.568,
C08,Sample X17,0.225,
C09,Sample X18,0.180,
C10,Sample X19,0.226,
C11,Sample X20,0.177,
D02,Sample X21,0.171,
D03,Sample X22,0.203,
D04,Sample X23,0.158,
D05,Sample X24,0.892,
D06,Sample X25,0.905,
D07,Sample X26,0.832,
D08,Sample X27,0.247,
D09,Sample X28,0.197,
D10,Sample X29,0.229,
D11,Sample X30,0.186,
E02,Sample X31,0.150,
E03,Sample X32,0.244,
E04,Sample X33,0.200,
E05,Sample X34,0.318,
E06,Sample X35,0.106,
E07,Sample X36,0.881,
E08,Sample X37,0.126,
E09,Sample X38,0.165,
E10,Sample X39,0.153,
E11,Sample X40,0.119,
F02,Sample X41,0.226,
F03,Sample X42,0.206,
F04,Sample X43,0.176,
F05,Sample X44,0.810,
F06,Sample X45,0.864,
F07,Sample X46,0.829,
F08,Sample X47,0.483,
F09,Sample X48,0.167,
F10,Sample X49,0.242,
F11,Sample X50,0.145,
G02,Sample X51,0.848,
G03,Sample X52,0.594,
G04,Sample X53,0.527,
G05,Sample X54,0.256,
G06,Sample X55,1.606,
G07,Sample X56,0.356,
G08,Sample X57,0.544,
G09,Sample X58,0.810,
G10,Sample X59,0.265,
G11,Sample X60,0.519,
