Well,Content,Well Scan: Average (600),
B02,Sample X1,0.218,
B03,Sample X2,0.244,
B04,Sample X3,0.241,
B05,Sample X4,0.195,
B06,Sample X5,0.256,
B07,Sample X6,0.189,
B08,Sample X7,0.157,
B09,Sample X8,0.212,
B10,Sample X9,0.201,
B11,Sample X10,0.257,
C02,Sample X11,0.105,
C03,Sample X12,0.103,
C04,Sample X13,0.099,
C05,Sample X14,0.103,
C06,Sample X15,0.106,
C07,Sample X16,0.103,
C08,Sample X17,0.108,
C09,Sample X18,0.102,
C10,Sample X19,0.101,
C11,Sample X20,0.115,
D02,Sample X21,0.123,
D03,Sample X22,0.103,
D04,Sample X23,0.123,
D05,Sample X24,0.157,
D06,Sample X25,0.107,
D07,Sample X26,0.127,
D08,Sample X27,0.143,
D09,Sample X28,0.134,
D10,Sample X29,0.171,
D11,Sample X30,0.121,
E02,Sample X31,0.202,
E03,Sample X32,0.113,
E04,Sample X33,0.215,
E05,Sample X34,0.273,
E06,Sample X35,0.212,
E07,Sample X36,0.180,
E08,Sample X37,0.236,
E09,Sample X38,0.193,
E10,Sample X39,0.266,
E11,Sample X40,0.150,
F02,Sample X41,0.276,
F03,Sample X42,0.266,
F04,Sample X43,0.241,
F05,Sample X44,0.327,
F06,Sample X45,0.317,
F07,Sample X46,0.357,
F08,Sample X47,0.386,
F09,Sample X48,0.354,
F10,Sample X49,0.358,
F11,Sample X50,0.249,
G02,Sample X51,0.313,
G03,Sample X52,0.337,
G04,Sample X53,0.264,
G05,Sample X54,0.263,
G06,Sample X55,0.288,
G07,Sample X56,0.421,
G08,Sample X57,0.597,
G09,Sample X58,0.493,
G10,Sample X59,0.411,
G11,Sample X60,0.356,
