Well,Content,Well Scan: Average (600),
B02,Sample X1,0.983,
B03,Sample X2,0.489,
B04,Sample X3,1.153,
B05,Sample X4,0.480,
B06,Sample X5,1.123,
B07,Sample X6,0.867,
B08,Sample X7,0.347,
B09,Sample X8,0.630,
B10,Sample X9,0.437,
B11,Sample X10,0.411,
C02,Sample X11,0.234,
C03,Sample X12,0.278,
C04,Sample X13,0.305,
C05,Sample X14,0.330,
C06,Sample X15,0.305,
C07,Sample X16,0.290,
C08,Sample X17,0.311,
C09,Sample X18,0.309,
C10,Sample X19,0.302,
C11,Sample X20,0.310,
D02,Sample X21,0.299,
D03,Sample X22,0.252,
D04,Sample X23,0.281,
D05,Sample X24,0.300,
D06,Sample X25,0.273,
D07,Sample X26,0.266,
D08,Sample X27,0.280,
D09,Sample X28,0.254,
D10,Sample X29,0.267,
D11,Sample X30,0.276,
E02,Sample X31,0.209,
E03,Sample X32,0.236,
E04,Sample X33,0.249,
E05,Sample X34,0.334,
E06,Sample X35,0.287,
E07,Sample X36,0.260,
E08,Sample X37,0.261,
E09,Sample X38,0.260,
E10,Sample X39,0.245,
E11,Sample X40,0.251,
F02,Sample X41,0.222,
F03,Sample X42,0.294,
F04,Sample X43,0.360,
F05,Sample X44,0.310,
F06,Sample X45,0.305,
F07,Sample X46,0.835,
F08,Sample X47,0.280,
F09,Sample X48,0.270,
F10,Sample X49,0.261,
F11,Sample X50,0.290,
G02,Sample X51,0.323,
G03,Sample X52,0.526,
G04,Sample X53,0.380,
G05,Sample X54,1.111,
G06,Sample X55,0.649,
G07,Sample X56,1.214,
G08,Sample X57,0.363,
G09,Sample X58,0.905,
G10,Sample X59,0.967,
G11,Sample X60,0.319,
