Well,Content,Well Scan: Average (600),
B02,Sample X1,0.252,
B03,Sample X2,0.353,
B04,Sample X3,0.466,
B05,Sample X4,0.419,
B06,Sample X5,0.384,
B07,Sample X6,0.514,
B08,Sample X7,0.500,
B09,Sample X8,0.557,
B10,Sample X9,0.599,
B11,Sample X10,0.591,
C02,Sample X11,0.104,
C03,Sample X12,0.108,
C04,Sample X13,0.109,
C05,Sample X14,0.130,
C06,Sample X15,0.116,
C07,Sample X16,0.119,
C08,Sample X17,0.103,
C09,Sample X18,0.100,
C10,Sample X19,0.099,
C11,Sample X20,0.113,
D02,Sample X21,0.758,
D03,Sample X22,0.109,
D04,Sample X23,0.127,
D05,Sample X24,0.134,
D06,Sample X25,0.139,
D07,Sample X26,0.123,
D08,Sample X27,0.135,
D09,Sample X28,0.128,
D10,Sample X29,0.148,
D11,Sample X30,0.139,
E02,Sample X31,0.140,
E03,Sample X32,0.157,
E04,Sample X33,0.234,
E05,Sample X34,0.478,
E06,Sample X35,0.418,
E07,Sample X36,0.524,
E08,Sample X37,0.457,
E09,Sample X38,0.329,
E10,Sample X39,0.277,
E11,Sample X40,0.295,
F02,Sample X41,0.880,
F03,Sample X42,0.933,
F04,Sample X43,0.920,
F05,Sample X44,0.897,
F06,Sample X45,0.830,
F07,Sample X46,0.853,
F08,Sample X47,0.775,
F09,Sample X48,0.863,
F10,Sample X49,0.918,
F11,Sample X50,0.834,
G02,Sample X51,0.571,
G03,Sample X52,0.831,
G04,Sample X53,0.694,
G05,Sample X54,0.827,
G06,Sample X55,0.755,
G07,Sample X56,0.718,
G08,Sample X57,0.756,
G09,Sample X58,0.808,
G10,Sample X59,0.830,
G11,Sample X60,0.370,
