Well,Content,Well Scan: Average (600),
B02,Sample X1,0.748,
B03,Sample X2,0.296,
B04,Sample X3,1.198,
B05,Sample X4,1.431,
B06,Sample X5,1.441,
B07,Sample X6,1.489,
B08,Sample X7,0.135,
B09,Sample X8,0.202,
B10,Sample X9,0.281,
B11,Sample X10,0.247,
C02,Sample X11,0.094,
C03,Sample X12,0.095,
C04,Sample X13,0.096,
C05,Sample X14,0.094,
C06,Sample X15,0.668,
C07,Sample X16,0.095,
C08,Sample X17,0.096,
C09,Sample X18,0.096,
C10,Sample X19,0.096,
C11,Sample X20,0.096,
D02,Sample X21,0.116,
D03,Sample X22,0.095,
D04,Sample X23,0.095,
D05,Sample X24,0.679,
D06,Sample X25,0.741,
D07,Sample X26,0.785,
D08,Sample X27,0.094,
D09,Sample X28,0.096,
D10,Sample X29,0.095,
D11,Sample X30,0.097,
E02,Sample X31,0.128,
E03,Sample X32,0.129,
E04,Sample X33,0.524,
E05,Sample X34,0.204,
E06,Sample X35,0.178,
E07,Sample X36,0.216,
E08,Sample X37,0.148,
E09,Sample X38,0.131,
E10,Sample X39,0.123,
E11,Sample X40,0.107,
F02,Sample X41,0.130,
F03,Sample X42,0.124,
F04,Sample X43,0.150,
F05,Sample X44,1.708,
F06,Sample X45,1.750,
F07,Sample X46,1.691,
F08,Sample X47,0.154,
F09,Sample X48,0.158,
F10,Sample X49,0.113,
F11,Sample X50,0.136,
G02,Sample X51,0.166,
G03,Sample X52,0.167,
G04,Sample X53,0.157,
G05,Sample X54,1.686,
G06,Sample X55,1.678,
G07,Sample X56,1.677,
G08,Sample X57,0.163,
G09,Sample X58,0.212,
G10,Sample X59,0.180,
G11,Sample X60,0.349,
