Well,Content,Well Scan: Average (600),
B02,Sample X1,1.259,
B03,Sample X2,1.528,
B04,Sample X3,1.500,
B05,Sample X4,1.436,
B06,Sample X5,0.322,
B07,Sample X6,1.179,
B08,Sample X7,0.131,
B09,Sample X8,0.168,
B10,Sample X9,0.136,
B11,Sample X10,0.119,
C02,Sample X11,0.106,
C03,Sample X12,0.137,
C04,Sample X13,0.152,
C05,Sample X14,0.219,
C06,Sample X15,0.262,
C07,Sample X16,0.342,
C08,Sample X17,0.221,
C09,Sample X18,0.202,
C10,Sample X19,0.138,
C11,Sample X20,0.114,
D02,Sample X21,0.107,
D03,Sample X22,0.152,
D04,Sample X23,0.125,
D05,Sample X24,0.343,
D06,Sample X25,0.351,
D07,Sample X26,0.572,
D08,Sample X27,0.101,
D09,Sample X28,0.149,
D10,Sample X29,0.102,
D11,Sample X30,0.101,
E02,Sample X31,0.111,
E03,Sample X32,0.128,
E04,Sample X33,0.130,
E05,Sample X34,0.222,
E06,Sample X35,0.193,
E07,Sample X36,0.239,
E08,Sample X37,0.181,
E09,Sample X38,0.165,
E10,Sample X39,0.138,
E11,Sample X40,0.120,
F02,Sample X41,0.163,
F03,Sample X42,0.159,
F04,Sample X43,0.227,
F05,Sample X44,0.741,
F06,Sample X45,1.144,
F07,Sample X46,1.205,
F08,Sample X47,0.245,
F09,Sample X48,0.239,
F10,Sample X49,0.213,
F11,Sample X50,0.208,
G02,Sample X51,0.270,
G03,Sample X52,0.192,
G04,Sample X53,0.361,
G05,Sample X54,1.273,
G06,Sample X55,1.442,
G07,Sample X56,0.576,
G08,Sample X57,0.303,
G09,Sample X58,0.590,
G10,Sample X59,0.293,
G11,Sample X60,0.263,
