Well,Content,Well Scan: Average (600),
B02,Sample X1,1.130,
B03,Sample X2,1.245,
B04,Sample X3,1.378,
B05,Sample X4,1.255,
B06,Sample X5,0.130,
B07,Sample X6,0.141,
B08,Sample X7,0.098,
B09,Sample X8,0.098,
B10,Sample X9,0.100,
B11,Sample X10,0.103,
C02,Sample X11,0.098,
C03,Sample X12,0.097,
C04,Sample X13,0.713,
C05,Sample X14,0.102,
C06,Sample X15,0.098,
C07,Sample X16,0.107,
C08,Sample X17,0.099,
C09,Sample X18,0.103,
C10,Sample X19,0.100,
C11,Sample X20,0.101,
D02,Sample X21,0.100,
D03,Sample X22,0.095,
D04,Sample X23,0.100,
D05,Sample X24,0.097,
D06,Sample X25,0.103,
D07,Sample X26,0.100,
D08,Sample X27,0.170,
D09,Sample X28,0.098,
D10,Sample X29,0.101,
D11,Sample X30,0.099,
E02,Sample X31,0.098,
E03,Sample X32,0.098,
E04,Sample X33,0.097,
E05,Sample X34,0.135,
E06,Sample X35,0.155,
E07,Sample X36,0.147,
E08,Sample X37,0.130,
E09,Sample X38,0.100,
E10,Sample X39,0.096,
E11,Sample X40,0.099,
F02,Sample X41,0.097,
F03,Sample X42,0.100,
F04,Sample X43,0.099,
F05,Sample X44,1.627,
F06,Sample X45,1.612,
F07,Sample X46,1.152,
F08,Sample X47,0.099,
F09,Sample X48,0.100,
F10,Sample X49,0.098,
F11,Sample X50,0.105,
G02,Sample X51,0.363,
G03,Sample X52,0.155,
G04,Sample X53,0.110,
G05,Sample X54,1.643,
G06,Sample X55,1.664,
G07,Sample X56,1.646,
G08,Sample X57,0.107,
G09,Sample X58,0.109,
G10,Sample X59,0.146,
G11,Sample X60,0.110,
