Well,Content,Well Scan: Average (600),
B02,Sample X1,0.917,
B03,Sample X2,0.986,
B04,Sample X3,0.979,
B05,Sample X4,1.067,
B06,Sample X5,0.572,
B07,Sample X6,1.159,
B08,Sample X7,0.322,
B09,Sample X8,0.500,
B10,Sample X9,0.485,
B11,Sample X10,0.493,
C02,Sample X11,0.282,
C03,Sample X12,0.288,
C04,Sample X13,0.277,
C05,Sample X14,0.342,
C06,Sample X15,0.356,
C07,Sample X16,0.353,
C08,Sample X17,0.280,
C09,Sample X18,0.323,
C10,Sample X19,0.313,
C11,Sample X20,0.317,
D02,Sample X21,0.382,
D03,Sample X22,0.377,
D04,Sample X23,0.403,
D05,Sample X24,0.507,
D06,Sample X25,0.535,
D07,Sample X26,0.553,
D08,Sample X27,0.391,
D09,Sample X28,0.369,
D10,Sample X29,0.387,
D11,Sample X30,0.294,
E02,Sample X31,0.476,
E03,Sample X32,0.433,
E04,Sample X33,0.443,
E05,Sample X34,0.601,
E06,Sample X35,0.597,
E07,Sample X36,0.551,
E08,Sample X37,0.463,
E09,Sample X38,0.521,
E10,Sample X39,0.478,
E11,Sample X40,0.466,
F02,Sample X41,0.719,
F03,Sample X42,0.736,
F04,Sample X43,0.793,
F05,Sample X44,0.715,
F06,Sample X45,0.787,
F07,Sample X46,0.745,
F08,Sample X47,0.734,
F09,Sample X48,0.790,
F10,Sample X49,0.816,
F11,Sample X50,0.779,
G02,Sample X51,1.015,
G03,Sample X52,1.041,
G04,Sample X53,0.998,
G05,Sample X54,1.173,
G06,Sample X55,1.028,
G07,Sample X56,1.127,
G08,Sample X57,1.015,
G09,Sample X58,1.175,
G10,Sample X59,1.116,
G11,Sample X60,1.124,
