Well,Content,Well Scan: Average (600),
B02,Sample X1,1.270,
B03,Sample X2,1.333,
B04,Sample X3,1.282,
B05,Sample X4,1.295,
B06,Sample X5,1.326,
B07,Sample X6,1.339,
B08,Sample X7,1.400,
B09,Sample X8,1.416,
B10,Sample X9,1.445,
B11,Sample X10,1.506,
C02,Sample X11,1.454,
C03,Sample X12,1.561,
C04,Sample X13,1.543,
C05,Sample X14,1.500,
C06,Sample X15,1.542,
C07,Sample X16,1.568,
C08,Sample X17,1.550,
C09,Sample X18,1.546,
C10,Sample X19,1.624,
C11,Sample X20,1.636,
D02,Sample X21,1.630,
D03,Sample X22,1.605,
D04,Sample X23,1.595,
D05,Sample X24,1.667,
D06,Sample X25,1.667,
D07,Sample X26,1.655,
D08,Sample X27,1.679,
D09,Sample X28,1.674,
D10,Sample X29,1.658,
D11,Sample X30,1.720,
E02,Sample X31,1.709,
E03,Sample X32,1.711,
E04,Sample X33,1.679,
E05,Sample X34,1.707,
E06,Sample X35,1.748,
E07,Sample X36,1.713,
E08,Sample X37,1.699,
E09,Sample X38,1.649,
E10,Sample X39,1.684,
E11,Sample X40,1.715,
F02,Sample X41,1.724,
F03,Sample X42,1.712,
F04,Sample X43,1.690,
F05,Sample X44,1.715,
F06,Sample X45,1.739,
F07,Sample X46,1.729,
F08,Sample X47,1.717,
F09,Sample X48,1.717,
F10,Sample X49,1.741,
F11,Sample X50,1.701,
G02,Sample X51,1.917,
G03,Sample X52,1.716,
G04,Sample X53,1.715,
G05,Sample X54,1.711,
G06,Sample X55,1.736,
G07,Sample X56,1.701,
G08,Sample X57,1.718,
G09,Sample X58,1.713,
G10,Sample X59,1.686,
G11,Sample X60,1.838,
