Well,Content,Well Scan: Average (600),
B02,Sample X1,1.140,
B03,Sample X2,1.251,
B04,Sample X3,1.260,
B05,Sample X4,1.277,
B06,Sample X5,1.355,
B07,Sample X6,1.418,
B08,Sample X7,0.187,
B09,Sample X8,1.428,
B10,Sample X9,1.453,
B11,Sample X10,1.524,
C02,Sample X11,0.097,
C03,Sample X12,0.093,
C04,Sample X13,0.094,
C05,Sample X14,0.099,
C06,Sample X15,0.095,
C07,Sample X16,0.093,
C08,Sample X17,0.095,
C09,Sample X18,0.095,
C10,Sample X19,0.095,
C11,Sample X20,0.095,
D02,Sample X21,0.247,
D03,Sample X22,0.344,
D04,Sample X23,0.095,
D05,Sample X24,0.141,
D06,Sample X25,0.114,
D07,Sample X26,0.144,
D08,Sample X27,0.095,
D09,Sample X28,0.095,
D10,Sample X29,0.096,
D11,Sample X30,0.213,
E02,Sample X31,0.147,
E03,Sample X32,0.100,
E04,Sample X33,0.102,
E05,Sample X34,0.322,
E06,Sample X35,0.240,
E07,Sample X36,0.172,
E08,Sample X37,0.097,
E09,Sample X38,0.098,
E10,Sample X39,0.099,
E11,Sample X40,0.849,
F02,Sample X41,1.641,
F03,Sample X42,1.576,
F04,Sample X43,1.617,
F05,Sample X44,1.635,
F06,Sample X45,1.731,
F07,Sample X46,1.671,
F08,Sample X47,1.697,
F09,Sample X48,1.633,
F10,Sample X49,1.641,
F11,Sample X50,1.707,
G02,Sample X51,1.712,
G03,Sample X52,1.716,
G04,Sample X53,1.628,
G05,Sample X54,1.696,
G06,Sample X55,1.711,
G07,Sample X56,1.702,
G08,Sample X57,1.654,
G09,Sample X58,1.623,
G10,Sample X59,1.674,
G11,Sample X60,1.654,
