Well,Content,Well Scan: Average (600),
B02,Sample X1,0.357,
B03,Sample X2,0.364,
B04,Sample X3,0.384,
B05,Sample X4,0.387,
B06,Sample X5,0.419,
B07,Sample X6,0.396,
B08,Sample X7,0.412,
B09,Sample X8,0.406,
B10,Sample X9,0.413,
B11,Sample X10,0.435,
C02,Sample X11,0.391,
C03,Sample X12,0.348,
C04,Sample X13,0.350,
C05,Sample X14,0.403,
C06,Sample X15,0.381,
C07,Sample X16,0.382,
C08,Sample X17,0.364,
C09,Sample X18,0.353,
C10,Sample X19,0.359,
C11,Sample X20,0.377,
D02,Sample X21,0.429,
D03,Sample X22,0.367,
D04,Sample X23,0.371,
D05,Sample X24,0.439,
D06,Sample X25,0.398,
D07,Sample X26,0.403,
D08,Sample X27,0.416,
D09,Sample X28,0.393,
D10,Sample X29,0.424,
D11,Sample X30,0.428,
E02,Sample X31,0.465,
E03,Sample X32,0.483,
E04,Sample X33,0.464,
E05,Sample X34,0.456,
E06,Sample X35,0.447,
E07,Sample X36,0.442,
E08,Sample X37,0.476,
E09,Sample X38,0.472,
E10,Sample X39,0.497,
E11,Sample X40,0.506,
F02,Sample X41,0.524,
F03,Sample X42,0.173,
F04,Sample X43,0.488,
F05,Sample X44,0.520,
F06,Sample X45,0.870,
F07,Sample X46,0.502,
F08,Sample X47,0.551,
F09,Sample X48,0.550,
F10,Sample X49,0.624,
F11,Sample X50,0.633,
G02,Sample X51,0.558,
G03,Sample X52,0.355,
G04,Sample X53,0.589,
G05,Sample X54,0.315,
G06,Sample X55,0.517,
G07,Sample X56,0.536,
G08,Sample X57,0.563,
G09,Sample X58,0.533,
G10,Sample X59,0.615,
G11,Sample X60,0.619,
