Well,Content,Well Scan: Average (600),
B02,Sample X1,0.575,
B03,Sample X2,0.549,
B04,Sample X3,0.596,
B05,Sample X4,0.607,
B06,Sample X5,0.692,
B07,Sample X6,0.628,
B08,Sample X7,0.494,
B09,Sample X8,0.697,
B10,Sample X9,0.691,
B11,Sample X10,0.731,
C02,Sample X11,0.567,
C03,Sample X12,0.657,
C04,Sample X13,0.587,
C05,Sample X14,0.697,
C06,Sample X15,0.618,
C07,Sample X16,0.592,
C08,Sample X17,0.632,
C09,Sample X18,0.532,
C10,Sample X19,0.326,
C11,Sample X20,0.374,
D02,Sample X21,0.644,
D03,Sample X22,0.714,
D04,Sample X23,0.685,
D05,Sample X24,0.765,
D06,Sample X25,0.857,
D07,Sample X26,0.774,
D08,Sample X27,0.821,
D09,Sample X28,0.704,
D10,Sample X29,0.927,
D11,Sample X30,0.708,
E02,Sample X31,1.108,
E03,Sample X32,1.076,
E04,Sample X33,1.066,
E05,Sample X34,1.058,
E06,Sample X35,1.081,
E07,Sample X36,1.007,
E08,Sample X37,1.120,
E09,Sample X38,1.031,
E10,Sample X39,1.165,
E11,Sample X40,0.994,
F02,Sample X41,1.147,
F03,Sample X42,1.190,
F04,Sample X43,1.177,
F05,Sample X44,1.193,
F06,Sample X45,1.195,
F07,Sample X46,1.240,
F08,Sample X47,1.181,
F09,Sample X48,1.078,
F10,Sample X49,1.053,
F11,Sample X50,1.269,
G02,Sample X51,1.229,
G03,Sample X52,1.130,
G04,Sample X53,1.256,
G05,Sample X54,1.199,
G06,Sample X55,1.233,
G07,Sample X56,1.215,
G08,Sample X57,1.301,
G09,Sample X58,1.298,
G10,Sample X59,1.277,
G11,Sample X60,1.290,
