Well,Content,Well Scan: Average (600),
B02,Sample X1,0.186,
B03,Sample X2,0.220,
B04,Sample X3,0.218,
B05,Sample X4,0.142,
B06,Sample X5,0.161,
B07,Sample X6,0.195,
B08,Sample X7,0.112,
B09,Sample X8,0.156,
B10,Sample X9,0.120,
B11,Sample X10,0.126,
C02,Sample X11,0.249,
C03,Sample X12,0.273,
C04,Sample X13,0.240,
C05,Sample X14,0.098,
C06,Sample X15,0.097,
C07,Sample X16,0.162,
C08,Sample X17,0.254,
C09,Sample X18,0.220,
C10,Sample X19,0.179,
C11,Sample X20,0.137,
D02,Sample X21,0.300,
D03,Sample X22,0.368,
D04,Sample X23,0.276,
D05,Sample X24,0.301,
D06,Sample X25,0.261,
D07,Sample X26,0.329,
D08,Sample X27,0.329,
D09,Sample X28,0.333,
D10,Sample X29,0.268,
D11,Sample X30,0.227,
E02,Sample X31,0.198,
E03,Sample X32,0.297,
E04,Sample X33,0.233,
E05,Sample X34,0.252,
E06,Sample X35,0.448,
E07,Sample X36,0.405,
E08,Sample X37,0.406,
E09,Sample X38,0.302,
E10,Sample X39,0.266,
E11,Sample X40,0.260,
F02,Sample X41,0.162,
F03,Sample X42,0.260,
F04,Sample X43,0.272,
F05,Sample X44,0.272,
F06,Sample X45,0.413,
F07,Sample X46,0.396,
F08,Sample X47,0.396,
F09,Sample X48,0.288,
F10,Sample X49,0.206,
F11,Sample X50,0.273,
G02,Sample X51,0.196,
G03,Sample X52,0.256,
G04,Sample X53,0.245,
G05,Sample X54,0.177,
G06,Sample X55,0.318,
G07,Sample X56,0.306,
G08,Sample X57,0.316,
G09,Sample X58,0.296,
G10,Sample X59,0.279,
G11,Sample X60,0.187,
