Well,Content,Well Scan: Average (600),
B02,Sample X1,0.249,
B03,Sample X2,0.260,
B04,Sample X3,0.261,
B05,Sample X4,0.258,
B06,Sample X5,0.249,
B07,Sample X6,0.233,
B08,Sample X7,0.281,
B09,Sample X8,0.242,
B10,Sample X9,0.241,
B11,Sample X10,0.247,
C02,Sample X11,0.272,
C03,Sample X12,0.304,
C04,Sample X13,0.289,
C05,Sample X14,0.277,
C06,Sample X15,0.256,
C07,Sample X16,0.257,
C08,Sample X17,0.265,
C09,Sample X18,0.262,
C10,Sample X19,0.265,
C11,Sample X20,0.263,
D02,Sample X21,0.274,
D03,Sample X22,0.263,
D04,Sample X23,0.284,
D05,Sample X24,0.268,
D06,Sample X25,0.284,
D07,Sample X26,0.292,
D08,Sample X27,0.290,
D09,Sample X28,0.263,
D10,Sample X29,0.289,
D11,Sample X30,0.306,
E02,Sample X31,0.252,
E03,Sample X32,0.258,
E04,Sample X33,0.271,
E05,Sample X34,0.247,
E06,Sample X35,0.286,
E07,Sample X36,0.289,
E08,Sample X37,0.282,
E09,Sample X38,0.287,
E10,Sample X39,0.293,
E11,Sample X40,0.279,
F02,Sample X41,0.278,
F03,Sample X42,0.274,
F04,Sample X43,0.286,
F05,Sample X44,0.322,
F06,Sample X45,0.388,
F07,Sample X46,0.339,
F08,Sample X47,0.375,
F09,Sample X48,0.408,
F10,Sample X49,0.365,
F11,Sample X50,0.524,
G02,Sample X51,0.362,
G03,Sample X52,0.382,
G04,Sample X53,0.382,
G05,Sample X54,0.469,
G06,Sample X55,0.438,
G07,Sample X56,0.437,
G08,Sample X57,0.464,
G09,Sample X58,0.442,
G10,Sample X59,0.460,
G11,Sample X60,0.440,
