Well,Content,Well Scan: Average (600),
B02,Sample X1,0.350,
B03,Sample X2,0.345,
B04,Sample X3,0.390,
B05,Sample X4,0.338,
B06,Sample X5,0.421,
B07,Sample X6,0.408,
B08,Sample X7,0.382,
B09,Sample X8,0.379,
B10,Sample X9,0.385,
B11,Sample X10,0.371,
C02,Sample X11,0.339,
C03,Sample X12,0.398,
C04,Sample X13,0.387,
C05,Sample X14,0.397,
C06,Sample X15,0.410,
C07,Sample X16,0.387,
C08,Sample X17,0.331,
C09,Sample X18,0.409,
C10,Sample X19,0.447,
C11,Sample X20,0.382,
D02,Sample X21,0.332,
D03,Sample X22,0.334,
D04,Sample X23,0.334,
D05,Sample X24,0.303,
D06,Sample X25,0.314,
D07,Sample X26,0.293,
D08,Sample X27,0.284,
D09,Sample X28,0.294,
D10,Sample X29,0.302,
D11,Sample X30,0.395,
E02,Sample X31,0.306,
E03,Sample X32,0.374,
E04,Sample X33,0.294,
E05,Sample X34,0.269,
E06,Sample X35,0.267,
E07,Sample X36,0.250,
E08,Sample X37,0.274,
E09,Sample X38,0.270,
E10,Sample X39,0.259,
E11,Sample X40,0.262,
F02,Sample X41,0.419,
F03,Sample X42,0.391,
F04,Sample X43,0.379,
F05,Sample X44,0.279,
F06,Sample X45,0.344,
F07,Sample X46,0.301,
F08,Sample X47,0.334,
F09,Sample X48,0.311,
F10,Sample X49,0.306,
F11,Sample X50,0.316,
G02,Sample X51,0.410,
G03,Sample X52,0.432,
G04,Sample X53,0.366,
G05,Sample X54,0.305,
G06,Sample X55,0.343,
G07,Sample X56,0.300,
G08,Sample X57,0.270,
G09,Sample X58,0.343,
G10,Sample X59,0.341,
G11,Sample X60,0.327,
