Well,Content,Well Scan: Average (600),
B02,Sample X1,0.217,
B03,Sample X2,0.216,
B04,Sample X3,0.222,
B05,Sample X4,0.201,
B06,Sample X5,0.206,
B07,Sample X6,0.206,
B08,Sample X7,0.151,
B09,Sample X8,0.174,
B10,Sample X9,0.169,
B11,Sample X10,0.175,
C02,Sample X11,0.118,
C03,Sample X12,0.119,
C04,Sample X13,0.123,
C05,Sample X14,0.141,
C06,Sample X15,0.142,
C07,Sample X16,0.138,
C08,Sample X17,0.136,
C09,Sample X18,0.129,
C10,Sample X19,0.124,
C11,Sample X20,0.120,
D02,Sample X21,0.161,
D03,Sample X22,0.169,
D04,Sample X23,0.168,
D05,Sample X24,0.171,
D06,Sample X25,0.175,
D07,Sample X26,0.167,
D08,Sample X27,0.161,
D09,Sample X28,0.160,
D10,Sample X29,0.153,
D11,Sample X30,0.166,
E02,Sample X31,0.167,
E03,Sample X32,0.177,
E04,Sample X33,0.182,
E05,Sample X34,0.174,
E06,Sample X35,0.173,
E07,Sample X36,0.172,
E08,Sample X37,0.170,
E09,Sample X38,0.169,
E10,Sample X39,0.171,
E11,Sample X40,0.168,
F02,Sample X41,0.183,
F03,Sample X42,0.192,
F04,Sample X43,0.189,
F05,Sample X44,0.190,
F06,Sample X45,0.193,
F07,Sample X46,0.185,
F08,Sample X47,0.186,
F09,Sample X48,0.181,
F10,Sample X49,0.186,
F11,Sample X50,0.188,
G02,Sample X51,0.204,
G03,Sample X52,0.207,
G04,Sample X53,0.206,
G05,Sample X54,0.212,
G06,Sample X55,0.204,
G07,Sample X56,0.199,
G08,Sample X57,0.197,
G09,Sample X58,0.189,
G10,Sample X59,0.216,
G11,Sample X60,0.218,
