Well,Content,Well Scan: Average (600),
B02,Sample X1,0.132,
B03,Sample X2,0.203,
B04,Sample X3,0.138,
B05,Sample X4,0.290,
B06,Sample X5,0.174,
B07,Sample X6,0.332,
B08,Sample X7,0.328,
B09,Sample X8,0.301,
B10,Sample X9,0.240,
B11,Sample X10,0.205,
C02,Sample X11,0.141,
C03,Sample X12,0.226,
C04,Sample X13,0.298,
C05,Sample X14,0.247,
C06,Sample X15,0.352,
C07,Sample X16,0.364,
C08,Sample X17,0.342,
C09,Sample X18,0.306,
C10,Sample X19,0.276,
C11,Sample X20,0.225,
D02,Sample X21,0.137,
D03,Sample X22,0.155,
D04,Sample X23,0.264,
D05,Sample X24,0.354,
D06,Sample X25,0.374,
D07,Sample X26,0.360,
D08,Sample X27,0.332,
D09,Sample X28,0.336,
D10,Sample X29,0.274,
D11,Sample X30,0.113,
E02,Sample X31,0.114,
E03,Sample X32,0.113,
E04,Sample X33,0.142,
E05,Sample X34,0.307,
E06,Sample X35,0.359,
E07,Sample X36,0.328,
E08,Sample X37,0.317,
E09,Sample X38,0.327,
E10,Sample X39,0.194,
E11,Sample X40,0.224,
F02,Sample X41,0.103,
F03,Sample X42,0.130,
F04,Sample X43,0.189,
F05,Sample X44,0.260,
F06,Sample X45,0.297,
F07,Sample X46,0.297,
F08,Sample X47,0.256,
F09,Sample X48,0.266,
F10,Sample X49,0.217,
F11,Sample X50,0.175,
G02,Sample X51,0.106,
G03,Sample X52,0.106,
G04,Sample X53,0.134,
G05,Sample X54,0.152,
G06,Sample X55,0.190,
G07,Sample X56,0.179,
G08,Sample X57,0.154,
G09,Sample X58,0.174,
G10,Sample X59,0.158,
G11,Sample X60,0.148,
