Well,Content,Well Scan: Average (600),
B02,Sample X1,0.729,
B03,Sample X2,0.728,
B04,Sample X3,0.743,
B05,Sample X4,0.661,
B06,Sample X5,1.011,
B07,Sample X6,0.690,
B08,Sample X7,0.795,
B09,Sample X8,0.999,
B10,Sample X9,0.781,
B11,Sample X10,0.783,
C02,Sample X11,0.112,
C03,Sample X12,0.096,
C04,Sample X13,0.113,
C05,Sample X14,0.273,
C06,Sample X15,0.365,
C07,Sample X16,0.307,
C08,Sample X17,0.216,
C09,Sample X18,0.187,
C10,Sample X19,0.214,
C11,Sample X20,0.168,
D02,Sample X21,0.355,
D03,Sample X22,0.393,
D04,Sample X23,0.405,
D05,Sample X24,0.370,
D06,Sample X25,0.426,
D07,Sample X26,0.374,
D08,Sample X27,0.366,
D09,Sample X28,0.227,
D10,Sample X29,0.252,
D11,Sample X30,0.273,
E02,Sample X31,0.186,
E03,Sample X32,0.178,
E04,Sample X33,0.169,
E05,Sample X34,0.200,
E06,Sample X35,0.207,
E07,Sample X36,0.211,
E08,Sample X37,0.319,
E09,Sample X38,0.414,
E10,Sample X39,0.270,
E11,Sample X40,0.283,
F02,Sample X41,0.308,
F03,Sample X42,0.272,
F04,Sample X43,0.187,
F05,Sample X44,0.283,
F06,Sample X45,0.221,
F07,Sample X46,0.193,
F08,Sample X47,0.174,
F09,Sample X48,0.239,
F10,Sample X49,0.482,
F11,Sample X50,0.270,
G02,Sample X51,0.430,
G03,Sample X52,0.258,
G04,Sample X53,0.237,
G05,Sample X54,0.155,
G06,Sample X55,0.201,
G07,Sample X56,0.407,
G08,Sample X57,0.188,
G09,Sample X58,0.218,
G10,Sample X59,0.264,
G11,Sample X60,0.237,
