Well,Content,Well Scan: Average (600),
B02,Sample X1,0.720,
B03,Sample X2,0.761,
B04,Sample X3,0.719,
B05,Sample X4,0.841,
B06,Sample X5,0.223,
B07,Sample X6,0.621,
B08,Sample X7,0.313,
B09,Sample X8,0.306,
B10,Sample X9,0.283,
B11,Sample X10,0.250,
C02,Sample X11,0.305,
C03,Sample X12,0.250,
C04,Sample X13,0.277,
C05,Sample X14,0.252,
C06,Sample X15,0.290,
C07,Sample X16,0.336,
C08,Sample X17,0.264,
C09,Sample X18,0.298,
C10,Sample X19,0.302,
C11,Sample X20,0.278,
D02,Sample X21,0.257,
D03,Sample X22,0.235,
D04,Sample X23,0.244,
D05,Sample X24,0.254,
D06,Sample X25,0.240,
D07,Sample X26,0.248,
D08,Sample X27,0.243,
D09,Sample X28,0.264,
D10,Sample X29,0.241,
D11,Sample X30,0.251,
E02,Sample X31,0.253,
E03,Sample X32,0.238,
E04,Sample X33,0.234,
E05,Sample X34,0.252,
E06,Sample X35,0.228,
E07,Sample X36,0.208,
E08,Sample X37,0.242,
E09,Sample X38,0.216,
E10,Sample X39,0.243,
E11,Sample X40,0.243,
F02,Sample X41,0.230,
F03,Sample X42,0.210,
F04,Sample X43,0.192,
F05,Sample X44,0.203,
F06,Sample X45,0.190,
F07,Sample X46,0.193,
F08,Sample X47,0.191,
F09,Sample X48,0.183,
F10,Sample X49,0.173,
F11,Sample X50,0.207,
G02,Sample X51,0.197,
G03,Sample X52,0.207,
G04,Sample X53,0.202,
G05,Sample X54,0.184,
G06,Sample X55,0.212,
G07,Sample X56,1.532,
G08,Sample X57,0.194,
G09,Sample X58,0.196,
G10,Sample X59,0.181,
G11,Sample X60,0.212,
