Well,Content,Well Scan: Average (600),
B02,Sample X1,0.994,
B03,Sample X2,1.000,
B04,Sample X3,1.053,
B05,Sample X4,1.066,
B06,Sample X5,1.113,
B07,Sample X6,1.099,
B08,Sample X7,1.078,
B09,Sample X8,1.134,
B10,Sample X9,1.288,
B11,Sample X10,1.174,
C02,Sample X11,0.135,
C03,Sample X12,0.145,
C04,Sample X13,0.115,
C05,Sample X14,0.858,
C06,Sample X15,0.879,
C07,Sample X16,0.859,
C08,Sample X17,0.117,
C09,Sample X18,0.114,
C10,Sample X19,0.146,
C11,Sample X20,0.134,
D02,Sample X21,1.337,
D03,Sample X22,0.109,
D04,Sample X23,0.121,
D05,Sample X24,1.285,
D06,Sample X25,1.264,
D07,Sample X26,1.258,
D08,Sample X27,0.121,
D09,Sample X28,0.135,
D10,Sample X29,0.107,
D11,Sample X30,0.104,
E02,Sample X31,0.158,
E03,Sample X32,0.181,
E04,Sample X33,0.183,
E05,Sample X34,1.509,
E06,Sample X35,1.498,
E07,Sample X36,1.459,
E08,Sample X37,0.193,
E09,Sample X38,0.220,
E10,Sample X39,0.225,
E11,Sample X40,0.262,
F02,Sample X41,1.565,
F03,Sample X42,1.630,
F04,Sample X43,1.586,
F05,Sample X44,1.611,
F06,Sample X45,1.575,
F07,Sample X46,1.601,
F08,Sample X47,1.602,
F09,Sample X48,1.567,
F10,Sample X49,1.627,
F11,Sample X50,1.666,
G02,Sample X51,1.634,
G03,Sample X52,1.658,
G04,Sample X53,1.662,
G05,Sample X54,1.621,
G06,Sample X55,1.617,
G07,Sample X56,1.644,
G08,Sample X57,1.617,
G09,Sample X58,1.619,
G10,Sample X59,1.642,
G11,Sample X60,1.632,
