Well,Content,Well Scan: Average (600),
B02,Sample X1,1.097,
B03,Sample X2,1.157,
B04,Sample X3,1.156,
B05,Sample X4,1.214,
B06,Sample X5,1.219,
B07,Sample X6,1.356,
B08,Sample X7,1.388,
B09,Sample X8,1.342,
B10,Sample X9,1.377,
B11,Sample X10,1.318,
C02,Sample X11,1.381,
C03,Sample X12,1.503,
C04,Sample X13,1.428,
C05,Sample X14,1.652,
C06,Sample X15,1.360,
C07,Sample X16,1.540,
C08,Sample X17,1.550,
C09,Sample X18,1.467,
C10,Sample X19,1.358,
C11,Sample X20,1.441,
D02,Sample X21,1.395,
D03,Sample X22,1.393,
D04,Sample X23,1.359,
D05,Sample X24,1.442,
D06,Sample X25,1.380,
D07,Sample X26,1.494,
D08,Sample X27,1.410,
D09,Sample X28,1.394,
D10,Sample X29,1.381,
D11,Sample X30,1.325,
E02,Sample X31,1.403,
E03,Sample X32,1.361,
E04,Sample X33,1.285,
E05,Sample X34,1.320,
E06,Sample X35,1.361,
E07,Sample X36,1.400,
E08,Sample X37,1.315,
E09,Sample X38,1.385,
E10,Sample X39,1.389,
E11,Sample X40,1.404,
F02,Sample X41,1.369,
F03,Sample X42,1.328,
F04,Sample X43,1.234,
F05,Sample X44,1.290,
F06,Sample X45,1.248,
F07,Sample X46,1.323,
F08,Sample X47,1.280,
F09,Sample X48,1.391,
F10,Sample X49,1.331,
F11,Sample X50,1.232,
G02,Sample X51,1.458,
G03,Sample X52,1.333,
G04,Sample X53,1.302,
G05,Sample X54,1.350,
G06,Sample X55,1.227,
G07,Sample X56,1.239,
G08,Sample X57,1.276,
G09,Sample X58,1.254,
G10,Sample X59,1.222,
G11,Sample X60,1.312,
