Well,Content,Well Scan: Average (600),
B02,Sample X1,0.146,
B03,Sample X2,0.175,
B04,Sample X3,0.140,
B05,Sample X4,0.127,
B06,Sample X5,0.124,
B07,Sample X6,0.124,
B08,Sample X7,0.112,
B09,Sample X8,0.129,
B10,Sample X9,0.129,
B11,Sample X10,0.134,
C02,Sample X11,0.096,
C03,Sample X12,0.095,
C04,Sample X13,0.094,
C05,Sample X14,0.110,
C06,Sample X15,0.117,
C07,Sample X16,0.115,
C08,Sample X17,0.100,
C09,Sample X18,0.097,
C10,Sample X19,0.097,
C11,Sample X20,0.099,
D02,Sample X21,0.101,
D03,Sample X22,0.100,
D04,Sample X23,0.106,
D05,Sample X24,0.111,
D06,Sample X25,0.116,
D07,Sample X26,0.121,
D08,Sample X27,0.110,
D09,Sample X28,0.109,
D10,Sample X29,0.104,
D11,Sample X30,0.113,
E02,Sample X31,0.107,
E03,Sample X32,0.109,
E04,Sample X33,0.108,
E05,Sample X34,0.111,
E06,Sample X35,0.117,
E07,Sample X36,0.116,
E08,Sample X37,0.113,
E09,Sample X38,0.108,
E10,Sample X39,0.104,
E11,Sample X40,0.103,
F02,Sample X41,0.106,
F03,Sample X42,0.113,
F04,Sample X43,0.106,
F05,Sample X44,0.108,
F06,Sample X45,0.156,
F07,Sample X46,0.113,
F08,Sample X47,0.108,
F09,Sample X48,0.105,
F10,Sample X49,0.107,
F11,Sample X50,0.104,
G02,Sample X51,0.104,
G03,Sample X52,0.109,
G04,Sample X53,0.109,
G05,Sample X54,0.108,
G06,Sample X55,0.102,
G07,Sample X56,0.108,
G08,Sample X57,0.111,
G09,Sample X58,0.107,
G10,Sample X59,0.112,
G11,Sample X60,0.112,
