Well,Content,Well Scan: Average (600),
B02,Sample X1,0.232,
B03,Sample X2,0.257,
B04,Sample X3,0.240,
B05,Sample X4,0.232,
B06,Sample X5,0.225,
B07,Sample X6,0.244,
B08,Sample X7,0.172,
B09,Sample X8,0.217,
B10,Sample X9,0.224,
B11,Sample X10,0.229,
C02,Sample X11,0.169,
C03,Sample X12,0.184,
C04,Sample X13,0.179,
C05,Sample X14,0.202,
C06,Sample X15,0.201,
C07,Sample X16,0.180,
C08,Sample X17,0.161,
C09,Sample X18,0.172,
C10,Sample X19,0.177,
C11,Sample X20,0.176,
D02,Sample X21,0.194,
D03,Sample X22,0.200,
D04,Sample X23,0.178,
D05,Sample X24,0.233,
D06,Sample X25,0.212,
D07,Sample X26,0.193,
D08,Sample X27,0.210,
D09,Sample X28,0.191,
D10,Sample X29,0.203,
D11,Sample X30,0.177,
E02,Sample X31,0.227,
E03,Sample X32,0.205,
E04,Sample X33,0.237,
E05,Sample X34,0.239,
E06,Sample X35,0.228,
E07,Sample X36,0.184,
E08,Sample X37,0.208,
E09,Sample X38,0.223,
E10,Sample X39,0.218,
E11,Sample X40,0.216,
F02,Sample X41,0.245,
F03,Sample X42,0.245,
F04,Sample X43,0.241,
F05,Sample X44,0.228,
F06,Sample X45,0.223,
F07,Sample X46,0.176,
F08,Sample X47,0.217,
F09,Sample X48,0.232,
F10,Sample X49,0.242,
F11,Sample X50,0.225,
G02,Sample X51,0.244,
G03,Sample X52,0.249,
G04,Sample X53,0.267,
G05,Sample X54,0.221,
G06,Sample X55,0.223,
G07,Sample X56,0.216,
G08,Sample X57,0.212,
G09,Sample X58,0.240,
G10,Sample X59,0.232,
G11,Sample X60,0.209,
