Well,Content,Well Scan: Average (600),
B02,Sample X1,0.107,
B03,Sample X2,0.160,
B04,Sample X3,0.106,
B05,Sample X4,0.221,
B06,Sample X5,0.379,
B07,Sample X6,0.615,
B08,Sample X7,0.093,
B09,Sample X8,0.096,
B10,Sample X9,0.096,
B11,Sample X10,0.102,
C02,Sample X11,0.095,
C03,Sample X12,0.098,
C04,Sample X13,0.094,
C05,Sample X14,0.096,
C06,Sample X15,0.095,
C07,Sample X16,0.094,
C08,Sample X17,0.096,
C09,Sample X18,0.094,
C10,Sample X19,0.094,
C11,Sample X20,0.096,
D02,Sample X21,0.094,
D03,Sample X22,0.095,
D04,Sample X23,0.094,
D05,Sample X24,0.096,
D06,Sample X25,0.097,
D07,Sample X26,0.097,
D08,Sample X27,0.095,
D09,Sample X28,0.095,
D10,Sample X29,0.093,
D11,Sample X30,0.095,
E02,Sample X31,0.095,
E03,Sample X32,0.094,
E04,Sample X33,0.095,
E05,Sample X34,0.974,
E06,Sample X35,0.106,
E07,Sample X36,0.107,
E08,Sample X37,0.094,
E09,Sample X38,0.094,
E10,Sample X39,0.094,
E11,Sample X40,0.172,
F02,Sample X41,0.096,
F03,Sample X42,0.101,
F04,Sample X43,0.096,
F05,Sample X44,0.108,
F06,Sample X45,0.298,
F07,Sample X46,0.228,
F08,Sample X47,0.095,
F09,Sample X48,0.096,
F10,Sample X49,0.097,
F11,Sample X50,0.095,
G02,Sample X51,0.105,
G03,Sample X52,0.100,
G04,Sample X53,0.857,
G05,Sample X54,0.104,
G06,Sample X55,1.455,
G07,Sample X56,0.107,
G08,Sample X57,0.153,
G09,Sample X58,0.105,
G10,Sample X59,0.102,
G11,Sample X60,0.133,
