Sequence_ID	Organism	collection_date	geo_loc_name	Host	Isolation Source	Collected_by	isolate
Pseudomonas_phage_CPL00272	Pbunavirus	Apr-25	United Kingdom: Exeter	Pseudomonas aeruginosa PAO1	Previous CPL stock of CPL00272	Christian Fitch	CPL00272
Pseudomonas_phage_CPL00272_var	Pbunavirus	Apr-25	United Kingdom: Exeter	Pseudomonas aeruginosa DFI10.1	Previous CPL stock of CPL00272	Christian Fitch	CPL00272V1.1
