biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN48281048	S16	Trimmed reads of CPL00272 (Tor) propagated on Ps. Aeruginosa PAO1 	WGS	GENOMIC	unspecified	paired	ILLUMINA	Illumina NovaSeq X	Phage DNA extracted using Norgene Phage DNA isolation kit and quanitfied using Qubit 3 with BS assay kit. Libraries prepared by Exeter Sequencing Service by barcoding and pooling and sequenced using Illumina Novaseq to generate 150 bp paired end reads.	fastq	11566_CPL00272_CPL_S16_R1_001_fastp.fastq.gz	11566_CPL00272_CPL_S16_R2_001_fastp.fastq.gz				
SAMN48281048	S17	Trimmed reads of CPL00272V1.1 (TorV1.1) propagated on Ps. Aeruginosa DFI10.1	WGS	GENOMIC	unspecified	paired	ILLUMINA	Illumina NovaSeq X	Phage DNA extracted using Norgene Phage DNA isolation kit and quanitfied using Qubit 3 with BS assay kit. Libraries prepared by Exeter Sequencing Service by barcoding and pooling and sequenced using Illumina Novaseq to generate 150 bp paired end reads.	fastq	11566_CPL00272_variant_S17_R1_001_fastp.fastq.gz	11566_CPL00272_variant_S17_R2_001_fastp.fastq.gz				
