Well,Content,Well Scan: Average (600),
B02,Sample X1,0.300,
B03,Sample X2,0.312,
B04,Sample X3,0.302,
B05,Sample X4,0.378,
B06,Sample X5,0.289,
B07,Sample X6,0.362,
B08,Sample X7,0.313,
B09,Sample X8,0.310,
B10,Sample X9,0.347,
B11,Sample X10,0.350,
C02,Sample X11,0.305,
C03,Sample X12,0.294,
C04,Sample X13,0.301,
C05,Sample X14,0.646,
C06,Sample X15,0.304,
C07,Sample X16,0.483,
C08,Sample X17,0.345,
C09,Sample X18,0.336,
C10,Sample X19,0.347,
C11,Sample X20,0.333,
D02,Sample X21,0.301,
D03,Sample X22,0.277,
D04,Sample X23,0.271,
D05,Sample X24,0.279,
D06,Sample X25,0.302,
D07,Sample X26,0.297,
D08,Sample X27,0.265,
D09,Sample X28,0.266,
D10,Sample X29,0.296,
D11,Sample X30,0.254,
E02,Sample X31,0.289,
E03,Sample X32,0.257,
E04,Sample X33,0.315,
E05,Sample X34,0.283,
E06,Sample X35,0.259,
E07,Sample X36,0.294,
E08,Sample X37,0.277,
E09,Sample X38,0.263,
E10,Sample X39,0.284,
E11,Sample X40,0.300,
F02,Sample X41,0.274,
F03,Sample X42,0.269,
F04,Sample X43,0.283,
F05,Sample X44,0.269,
F06,Sample X45,0.261,
F07,Sample X46,0.286,
F08,Sample X47,0.261,
F09,Sample X48,0.246,
F10,Sample X49,0.255,
F11,Sample X50,0.298,
G02,Sample X51,0.273,
G03,Sample X52,0.269,
G04,Sample X53,0.233,
G05,Sample X54,0.263,
G06,Sample X55,0.241,
G07,Sample X56,0.241,
G08,Sample X57,0.231,
G09,Sample X58,0.264,
G10,Sample X59,0.279,
G11,Sample X60,0.277,
