Well,Content,Well Scan: Average (600),
B02,Sample X1,1.738,
B03,Sample X2,1.764,
B04,Sample X3,1.777,
B05,Sample X4,1.734,
B06,Sample X5,1.747,
B07,Sample X6,1.684,
B08,Sample X7,1.762,
B09,Sample X8,1.722,
B10,Sample X9,1.699,
B11,Sample X10,1.752,
C02,Sample X11,0.676,
C03,Sample X12,0.703,
C04,Sample X13,0.634,
C05,Sample X14,0.555,
C06,Sample X15,1.104,
C07,Sample X16,1.078,
C08,Sample X17,0.993,
C09,Sample X18,0.695,
C10,Sample X19,0.836,
C11,Sample X20,0.850,
D02,Sample X21,1.547,
D03,Sample X22,0.961,
D04,Sample X23,1.334,
D05,Sample X24,1.394,
D06,Sample X25,1.508,
D07,Sample X26,1.709,
D08,Sample X27,1.604,
D09,Sample X28,1.483,
D10,Sample X29,1.533,
D11,Sample X30,1.483,
E02,Sample X31,1.454,
E03,Sample X32,1.582,
E04,Sample X33,1.293,
E05,Sample X34,1.465,
E06,Sample X35,1.564,
E07,Sample X36,1.647,
E08,Sample X37,1.546,
E09,Sample X38,1.464,
E10,Sample X39,1.461,
E11,Sample X40,1.534,
F02,Sample X41,1.552,
F03,Sample X42,1.556,
F04,Sample X43,1.300,
F05,Sample X44,1.561,
F06,Sample X45,1.479,
F07,Sample X46,1.424,
F08,Sample X47,1.561,
F09,Sample X48,1.433,
F10,Sample X49,1.489,
F11,Sample X50,1.478,
G02,Sample X51,1.600,
G03,Sample X52,1.421,
G04,Sample X53,1.647,
G05,Sample X54,1.562,
G06,Sample X55,1.650,
G07,Sample X56,1.330,
G08,Sample X57,1.573,
G09,Sample X58,1.506,
G10,Sample X59,1.451,
G11,Sample X60,1.449,
