Well,Content,Well Scan: Average (600),
B02,Sample X1,0.579,
B03,Sample X2,0.594,
B04,Sample X3,0.612,
B05,Sample X4,0.648,
B06,Sample X5,0.688,
B07,Sample X6,0.682,
B08,Sample X7,0.701,
B09,Sample X8,0.704,
B10,Sample X9,0.755,
B11,Sample X10,0.775,
C02,Sample X11,0.501,
C03,Sample X12,0.585,
C04,Sample X13,0.651,
C05,Sample X14,0.914,
C06,Sample X15,0.847,
C07,Sample X16,0.838,
C08,Sample X17,0.609,
C09,Sample X18,0.609,
C10,Sample X19,0.634,
C11,Sample X20,0.620,
D02,Sample X21,0.932,
D03,Sample X22,0.709,
D04,Sample X23,0.806,
D05,Sample X24,0.872,
D06,Sample X25,0.948,
D07,Sample X26,0.945,
D08,Sample X27,0.892,
D09,Sample X28,0.893,
D10,Sample X29,0.878,
D11,Sample X30,0.803,
E02,Sample X31,1.115,
E03,Sample X32,1.200,
E04,Sample X33,1.120,
E05,Sample X34,1.129,
E06,Sample X35,1.126,
E07,Sample X36,1.098,
E08,Sample X37,1.087,
E09,Sample X38,1.054,
E10,Sample X39,0.932,
E11,Sample X40,1.060,
F02,Sample X41,1.162,
F03,Sample X42,0.278,
F04,Sample X43,1.115,
F05,Sample X44,1.276,
F06,Sample X45,1.328,
F07,Sample X46,1.212,
F08,Sample X47,1.177,
F09,Sample X48,1.237,
F10,Sample X49,1.288,
F11,Sample X50,1.272,
G02,Sample X51,1.324,
G03,Sample X52,0.432,
G04,Sample X53,0.779,
G05,Sample X54,0.457,
G06,Sample X55,1.345,
G07,Sample X56,1.313,
G08,Sample X57,1.327,
G09,Sample X58,1.295,
G10,Sample X59,1.355,
G11,Sample X60,1.403,
