Well,Content,Well Scan: Average (600),
B02,Sample X1,0.420,
B03,Sample X2,0.866,
B04,Sample X3,0.657,
B05,Sample X4,1.172,
B06,Sample X5,0.650,
B07,Sample X6,0.734,
B08,Sample X7,0.557,
B09,Sample X8,1.390,
B10,Sample X9,0.257,
B11,Sample X10,0.384,
C02,Sample X11,0.195,
C03,Sample X12,0.187,
C04,Sample X13,0.196,
C05,Sample X14,0.206,
C06,Sample X15,1.478,
C07,Sample X16,0.202,
C08,Sample X17,0.211,
C09,Sample X18,0.211,
C10,Sample X19,0.210,
C11,Sample X20,0.968,
D02,Sample X21,1.604,
D03,Sample X22,0.191,
D04,Sample X23,0.197,
D05,Sample X24,0.197,
D06,Sample X25,0.197,
D07,Sample X26,0.199,
D08,Sample X27,0.208,
D09,Sample X28,0.185,
D10,Sample X29,0.181,
D11,Sample X30,0.177,
E02,Sample X31,1.689,
E03,Sample X32,0.176,
E04,Sample X33,0.187,
E05,Sample X34,0.223,
E06,Sample X35,1.013,
E07,Sample X36,0.193,
E08,Sample X37,0.236,
E09,Sample X38,0.227,
E10,Sample X39,0.220,
E11,Sample X40,0.190,
F02,Sample X41,0.129,
F03,Sample X42,1.264,
F04,Sample X43,1.481,
F05,Sample X44,0.182,
F06,Sample X45,0.179,
F07,Sample X46,1.256,
F08,Sample X47,0.324,
F09,Sample X48,0.279,
F10,Sample X49,0.391,
F11,Sample X50,1.334,
G02,Sample X51,0.314,
G03,Sample X52,0.411,
G04,Sample X53,0.256,
G05,Sample X54,0.584,
G06,Sample X55,0.398,
G07,Sample X56,0.627,
G08,Sample X57,0.263,
G09,Sample X58,0.604,
G10,Sample X59,0.538,
G11,Sample X60,0.672,
