Well,Content,Well Scan: Average (600),
B02,Sample X1,0.387,
B03,Sample X2,0.440,
B04,Sample X3,0.360,
B05,Sample X4,0.574,
B06,Sample X5,0.399,
B07,Sample X6,0.445,
B08,Sample X7,0.431,
B09,Sample X8,0.476,
B10,Sample X9,0.451,
B11,Sample X10,0.464,
C02,Sample X11,0.440,
C03,Sample X12,0.415,
C04,Sample X13,0.470,
C05,Sample X14,0.495,
C06,Sample X15,0.504,
C07,Sample X16,0.491,
C08,Sample X17,0.590,
C09,Sample X18,0.576,
C10,Sample X19,0.507,
C11,Sample X20,0.505,
D02,Sample X21,0.405,
D03,Sample X22,0.442,
D04,Sample X23,0.366,
D05,Sample X24,0.613,
D06,Sample X25,0.675,
D07,Sample X26,0.584,
D08,Sample X27,0.532,
D09,Sample X28,0.512,
D10,Sample X29,0.480,
D11,Sample X30,0.507,
E02,Sample X31,0.342,
E03,Sample X32,0.409,
E04,Sample X33,0.427,
E05,Sample X34,0.475,
E06,Sample X35,0.488,
E07,Sample X36,0.486,
E08,Sample X37,0.436,
E09,Sample X38,0.396,
E10,Sample X39,0.393,
E11,Sample X40,0.397,
F02,Sample X41,0.426,
F03,Sample X42,0.541,
F04,Sample X43,0.459,
F05,Sample X44,0.481,
F06,Sample X45,0.445,
F07,Sample X46,0.467,
F08,Sample X47,0.395,
F09,Sample X48,0.434,
F10,Sample X49,0.417,
F11,Sample X50,0.465,
G02,Sample X51,0.645,
G03,Sample X52,0.473,
G04,Sample X53,0.437,
G05,Sample X54,0.519,
G06,Sample X55,0.601,
G07,Sample X56,0.523,
G08,Sample X57,0.436,
G09,Sample X58,0.547,
G10,Sample X59,0.416,
G11,Sample X60,0.325,
