Well,Content,Well Scan: Average (600),
B02,Sample X1,0.385,
B03,Sample X2,0.640,
B04,Sample X3,0.618,
B05,Sample X4,0.295,
B06,Sample X5,0.285,
B07,Sample X6,0.273,
B08,Sample X7,0.351,
B09,Sample X8,0.369,
B10,Sample X9,0.350,
B11,Sample X10,0.347,
C02,Sample X11,0.286,
C03,Sample X12,0.295,
C04,Sample X13,0.289,
C05,Sample X14,0.349,
C06,Sample X15,0.299,
C07,Sample X16,0.324,
C08,Sample X17,0.332,
C09,Sample X18,0.314,
C10,Sample X19,0.302,
C11,Sample X20,0.306,
D02,Sample X21,0.372,
D03,Sample X22,0.376,
D04,Sample X23,0.343,
D05,Sample X24,0.369,
D06,Sample X25,0.335,
D07,Sample X26,0.377,
D08,Sample X27,0.368,
D09,Sample X28,0.386,
D10,Sample X29,0.388,
D11,Sample X30,0.416,
E02,Sample X31,0.392,
E03,Sample X32,0.394,
E04,Sample X33,0.375,
E05,Sample X34,0.361,
E06,Sample X35,0.377,
E07,Sample X36,0.360,
E08,Sample X37,0.376,
E09,Sample X38,0.377,
E10,Sample X39,0.398,
E11,Sample X40,0.400,
F02,Sample X41,0.312,
F03,Sample X42,0.300,
F04,Sample X43,0.298,
F05,Sample X44,0.260,
F06,Sample X45,0.254,
F07,Sample X46,0.260,
F08,Sample X47,0.277,
F09,Sample X48,0.294,
F10,Sample X49,0.308,
F11,Sample X50,0.310,
G02,Sample X51,0.210,
G03,Sample X52,0.216,
G04,Sample X53,0.206,
G05,Sample X54,0.713,
G06,Sample X55,0.697,
G07,Sample X56,0.607,
G08,Sample X57,0.277,
G09,Sample X58,0.379,
G10,Sample X59,0.316,
G11,Sample X60,0.553,
