Well,Content,Well Scan: Average (600),
B02,Sample X1,0.423,
B03,Sample X2,0.354,
B04,Sample X3,0.366,
B05,Sample X4,0.314,
B06,Sample X5,0.397,
B07,Sample X6,0.351,
B08,Sample X7,0.359,
B09,Sample X8,0.408,
B10,Sample X9,0.400,
B11,Sample X10,0.411,
C02,Sample X11,0.374,
C03,Sample X12,0.376,
C04,Sample X13,0.380,
C05,Sample X14,0.345,
C06,Sample X15,0.331,
C07,Sample X16,0.345,
C08,Sample X17,0.381,
C09,Sample X18,0.363,
C10,Sample X19,0.350,
C11,Sample X20,0.346,
D02,Sample X21,0.422,
D03,Sample X22,0.420,
D04,Sample X23,0.423,
D05,Sample X24,0.386,
D06,Sample X25,0.399,
D07,Sample X26,0.372,
D08,Sample X27,0.397,
D09,Sample X28,0.427,
D10,Sample X29,0.452,
D11,Sample X30,0.473,
E02,Sample X31,0.426,
E03,Sample X32,0.365,
E04,Sample X33,0.411,
E05,Sample X34,0.399,
E06,Sample X35,0.443,
E07,Sample X36,0.454,
E08,Sample X37,0.381,
E09,Sample X38,0.379,
E10,Sample X39,0.436,
E11,Sample X40,0.425,
F02,Sample X41,0.396,
F03,Sample X42,0.405,
F04,Sample X43,0.420,
F05,Sample X44,0.511,
F06,Sample X45,0.601,
F07,Sample X46,0.544,
F08,Sample X47,0.528,
F09,Sample X48,0.559,
F10,Sample X49,0.553,
F11,Sample X50,0.640,
G02,Sample X51,0.609,
G03,Sample X52,0.672,
G04,Sample X53,0.723,
G05,Sample X54,0.841,
G06,Sample X55,0.859,
G07,Sample X56,0.729,
G08,Sample X57,0.711,
G09,Sample X58,0.739,
G10,Sample X59,0.685,
G11,Sample X60,0.693,
